[Rules.Rule-1].Name;Maximum decentralization
[Rules.Rule-2].Name;Decentralization
[Rules.Rule-3].Name;Balanced management
[Rules.Rule-4].Name;Centralization
[Rules.Rule-5].Name;Maximum centralization
[Rules.Rule-6].Name;Fully automated artifact search
[Rules.Rule-7].Name;Partial automation of artifact search
[Rules.Rule-8].Name;Balanced search
[Rules.Rule-9].Name;Anomaly mapping
[Rules.Rule-10].Name;Anomaly monitoring
[Rules.Rule-11].Name;Paranoid counterrecon
[Rules.Rule-12].Name;Focus on counterrecon
[Rules.Rule-13].Name;Balanced recon
[Rules.Rule-14].Name;Focus on recon
[Rules.Rule-15].Name;Recon network
[Rules.Rule-16].Name;All-round defense
[Rules.Rule-17].Name;Focus on defense
[Rules.Rule-18].Name;Balance
[Rules.Rule-19].Name;Focus on attack
[Rules.Rule-20].Name;Large-scale offense
[Advisors.Advisor-0].Name;Unknown
[Advisors.Advisor-3].Name;Unknown
[Advisors.Advisor-6].Name;Unknown
[Advisors.Advisor-11].Name;Unknown
[Advisors.Advisor-13].Name;Collective mind
[Advisors.Advisor-47].Name;Captain Klimenko
[Advisors.Advisor-48].Name;Captain Tarasov
[Advisors.Advisor-49].Name;Lieutenant Kirillov
[Advisors.Advisor-50].Name;Lieutenant Podorozhny
[Advisors.Advisor-51].Name;Lieutenant Rogovets
[Advisors.Advisor-52].Name;Lieutenant Sergeev
[Advisors.Advisor-53].Name;Lieutenant Skelya
[Advisors.Advisor-54].Name;Lieutenant Stetsenko
[Advisors.Advisor-55].Name;Ensign Valentir
[Advisors.Advisor-56].Name;Sergeant Valyushok
[Advisors.Advisor-57].Name;Senior Sergeant Morozov
[Advisors.Advisor-58].Name;Sergeant Merkulov
[Advisors.Advisor-59].Name;Sergeant Ostrovsky
[Advisors.Advisor-60].Name;Sergeant Yarmoshuk
[Advisors.Advisor-61].Name;Strider
[Advisors.Advisor-62].Name;Degtyarev
[Advisors.Advisor-72].Name;Preacher
[Advisors.Advisor-73].Name;Devotee
[Advisors.Advisor-74].Name;Messiah
[Advisors.Advisor-75].Name;Strider
[Advisors.Advisor-112].Name;Controller
[Achievements.Achiv-1].Name;The Monolith will return!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the Eastern Pripyat location as the Monolith faction on Master difficulty!
[Achievements.Achiv-1].Desc-Logo;Capture the Eastern Pripyat location for the Monolith faction on Master difficulty.
[Achievements.Achiv-2].Name;No evacuation necessary!
