[Form_World].LT_4;The faction changed the ventilation status in the territory of %s location %s
[Form_World].FilterHint_6;Biological hazard
[Form_ZonaMenu].FT_11;, there is a ventilation control panel
[Form_ZonaMenu].FHint9;The presence of a lethal level of biological hazard
[Form_ZonaMenu].BTNHint9;Manage ventilation status
[Form_PsyControl].TitleText;Actions with ventilation
[Form_PsyControl].LT_2;Ventilation status: %s
[Form_PsyControl].LT_3;You can turn the ventilation on and off. The cost is %s CR. Keep in mind that hazardous air can affect not only this area but also neighboring ones. Be prepared for unpredictable changes!
[Form_PsyControl].FT_1;You cannot turn the ventilation on or off. Be aware that hazardous air can affect not only this area but also others. Be careful!
[Form_PsyControl].FT_2;Turned off
[Form_PsyControl].FT_3;Turned on
[Buttons].BTN_PsyControl.Text;Ventilation
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Azot].Name;Nitro
[Advisors.Advisor-Stalkers-Senka].Name;Senka
[Advisors.Advisor-Stalkers-Boroda].Name;Beard
[Advisors.Advisor-Stalkers-Vano].Name;Vano
[Advisors.Advisor-Stalkers-Vobla].Name;Tuna
[Advisors.Advisor-Stalkers-Gavaec].Name;Hawaiian
[Advisors.Advisor-Stalkers-Garmata].Name;Garmata
[Advisors.Advisor-Stalkers-Gluhar].Name;Grouse
[Advisors.Advisor-Stalkers-Gonta].Name;Gonta
[Advisors.Advisor-Stalkers-Greben].Name;Crest
[Advisors.Advisor-Stalkers-Zveroboy].Name;Trapper
[Advisors.Advisor-Stalkers-Zulus].Name;Zulu
[Advisors.Advisor-Stalkers-Kardan].Name;Cardan
[Advisors.Advisor-Stalkers-Koryaga].Name;Snag
[Advisors.Advisor-Stalkers-Kostropav].Name;Bonesetter
[Advisors.Advisor-Stalkers-Krab].Name;Crab
[Advisors.Advisor-Stalkers-Kuvalda].Name;Sledgehammer
[Advisors.Advisor-Stalkers-Locman].Name;Pilot
[Advisors.Advisor-Stalkers-Medved].Name;Bear
[Advisors.Advisor-Stalkers-Mityai].Name;Mitay
[Advisors.Advisor-Stalkers-Noy].Name;Noah
[Advisors.Advisor-Stalkers-Petruha].Name;Petruha
[Advisors.Advisor-Stalkers-Spartak].Name;Spartacus
[Advisors.Advisor-Stalkers-Sych].Name;Owl
[Advisors.Advisor-Stalkers-Torba].Name;Torba
[Advisors.Advisor-Stalkers-Tremor].Name;Tremor
[Advisors.Advisor-Stalkers-Shilo].Name;Awl
[Advisors.Advisor-Bandits-Valet].Name;Jack
[Advisors.Advisor-Bandits-Gnom].Name;Gnome
[Advisors.Advisor-Bandits-Kastet].Name;Knuckles
[Advisors.Advisor-Bandits-Sultan].Name;Sultan
[Advisors.Advisor-Bandits-Shishak].Name;Shishak
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-76].Name;Hook
[Advisors.Advisor-77].Name;Hatchet
[Advisors.Advisor-78].Name;Vulture
[Advisors.Advisor-79].Name;Lawn
[Advisors.Advisor-80].Name;Corpse
[Advisors.Advisor-81].Name;Oak
[Advisors.Advisor-82].Name;Stake
[Advisors.Advisor-83].Name;Pianist
[Advisors.Advisor-84].Name;Surgeon
[Advisors.Advisor-85].Name;Kirzach
[Advisors.Advisor-86].Name;Koschei
[Advisors.Advisor-87].Name;Goblin
[Advisors.Advisor-88].Name;Skull
[Advisors.Advisor-89].Name;Doublet
[Advisors.Advisor-90].Name;Ridge
[Advisors.Advisor-91].Name;Tank
[Advisors.Advisor-92].Name;Black
[Advisors.Advisor-93].Name;Snout
[Advisors.Advisor-94].Name;Serbin
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Achievements.Achiv-1].Name;Crime-Free Zone!
[Achievements.Achiv-1].Desc;New achievement unlocked! Take control of all of Skadovsk as Free Stalkers on Master difficulty within 5 turns from the start of the game and hold it for 1 turn.
[Achievements.Achiv-1].Desc-Logo;Take control of all of Skadovsk as Free Stalkers on Master difficulty within 5 turns from the start of the game and hold it for 1 turn.
[Achievements.Achiv-2].Name;Bandit Skadovsk!
[Achievements.Achiv-2].Desc;New achievement unlocked! Take control of all of Skadovsk as Bandits on Master difficulty within 5 turns from the start of the game and hold it for 1 turn.
[Achievements.Achiv-2].Desc-Logo;Take control of all of Skadovsk as Bandits on Master difficulty within 5 turns from the start of the game and hold it for 1 turn.
[Achievements.Achiv-3].Name;Stalker's Beard!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture the Zaton location for the Free Stalkers faction and hold it for 1 turn on Veteran difficulty or higher.
[Achievements.Achiv-3].Desc-Logo;Capture the Zaton location for the Free Stalkers faction and hold it for 1 turn on Veteran difficulty or higher.
[Achievements.Achiv-4].Name;Zaton Sultanate!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the Zaton location for the Bandits faction and hold it for 1 turn on Veteran difficulty or higher.
[Achievements.Achiv-4].Desc-Logo;Capture the Zaton location for the Bandits faction and hold it for 1 turn on Veteran difficulty or higher.
[Achievements.Achiv-5].Name;Skadovsk Skies!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Stability ideology for the Free Stalkers faction on Experienced difficulty or higher and hold out for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Stability ideology for the Free Stalkers faction on Experienced difficulty or higher and hold out for 1 turn.
[Achievements.Achiv-6].Name;Third Force!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Mercenary ideology for the Free Stalkers faction on Experienced difficulty or higher and hold out for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Mercenary ideology for the Free Stalkers faction on Experienced difficulty or higher and hold out for 1 turn.
[Traders.World].Name;The Outside World
[Traders.World].NeedText;Establishing contact with the outside world is not always possible. 50% chance. Cost to attempt contact:
[Traders.YourGroup].Name;Your Faction's Trader
[Traders.YourGroup].NeedText;You can always trade with your faction's trader. Cost:
[Traders.OtherGroup].Name;Other Faction's Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select their territory on the map.
[Traders.Trader1].Name;Beard
[Traders.Trader1].NeedText;You can trade with him only if you control the Stalker Skadovsk territory in Zaton. Cost:
[Traders.Trader2].Name;Owl
[Traders.Trader2].NeedText;You can trade with him only if you control the Stalker Skadovsk territory in Zaton. Cost:
[Traders.Trader4].Name;Agile
[Traders.Trader4].NeedText;You can trade with him only if you control the Stalker Skadovsk territory in Zaton. Cost:
[StoryEvents.Event-NewWay].Name;Degtyarev's Group in the Underground
[StoryEvents.Event-NewWay].Desc-Owner;We received intel that Degtyarev and a group of stalkers descended into the Pripyat Overpass.
[StoryEvents.Event-NewWay].Desc-NonOwner;We received intel that Degtyarev and a group of stalkers descended into the Pripyat Overpass.
[StoryEvents.Event-LeaveMerc-RemoveUnit-1].Name;Technical Event 1
[StoryEvents.Event-LeaveMerc-RemoveUnit-1].Desc-Owner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-RemoveUnit-1].Desc-NonOwner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-RemoveUnit-2].Name;Technical Event 2
[StoryEvents.Event-LeaveMerc-RemoveUnit-2].Desc-Owner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-RemoveUnit-2].Desc-NonOwner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-ChangeOwner-1].Name;Kruk's Group Leaves Zaton
[StoryEvents.Event-LeaveMerc-ChangeOwner-1].Desc-Owner;If the player sees this line in-game, it's a bug in event Event-LeaveMerc-ChangeOwner-1.
[StoryEvents.Event-LeaveMerc-ChangeOwner-1].Desc-NonOwner;Scouts report that a mercenary group has left the %0:s territory in the %1:s location and headed in an unknown direction...
[StoryEvents.Event-LeaveMerc-ChangeOwner-2].Name;Tesak's Group Leaves Zaton
[StoryEvents.Event-LeaveMerc-ChangeOwner-2].Desc-Owner;If the player sees this line in-game, it's a bug in event Event-LeaveMerc-ChangeOwner-2.
[StoryEvents.Event-LeaveMerc-ChangeOwner-2].Desc-NonOwner;Scouts report that a mercenary group has left the %0:s territory in the %1:s location and headed in an unknown direction...
[StoryEvents.Event-LeaveMerc-AddUnit-1].Name;Technical Event 3
[StoryEvents.Event-LeaveMerc-AddUnit-1].Desc-Owner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-AddUnit-1].Desc-NonOwner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-AddUnit-2].Name;Technical Event 4
[StoryEvents.Event-LeaveMerc-AddUnit-2].Desc-Owner;Technical event visible only in debug mode.
[StoryEvents.Event-LeaveMerc-AddUnit-2].Desc-NonOwner;Technical event visible only in debug mode.
[StoryEvents.Event-150].Name;Degtyarev Appears in Zaton
[StoryEvents.Event-150].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-150].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-151].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-151].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-151].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-152].Name;Degtyarev Talks to Kardan
[StoryEvents.Event-152].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-152].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-153].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-153].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-153].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-154].Name;Degtyarev Continues His Path
[StoryEvents.Event-154].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-154].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-155].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-155].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-155].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-156].Name;Degtyarev Continues His Path
[StoryEvents.Event-156].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-156].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-157].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-157].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-157].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-158].Name;Degtyarev Continues His Path
[StoryEvents.Event-158].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-158].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-159].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-159].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-159].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-160].Name;Degtyarev Continues His Path
[StoryEvents.Event-160].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-160].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-161].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-161].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-161].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-162].Name;Degtyarev Continues His Path
[StoryEvents.Event-162].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-162].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-163].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-163].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-163].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-164].Name;Degtyarev Continues His Path
[StoryEvents.Event-164].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-164].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-165].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-165].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-165].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-166].Name;Degtyarev in the Workshop Laboratory
[StoryEvents.Event-166].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-166].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-167].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-167].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-167].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-168].Name;Degtyarev Continues His Path
[StoryEvents.Event-168].Desc-Owner;Stalker Degtyarev has been spotted in our %0:s territory at %1:s. Our garrison let him pass.
[StoryEvents.Event-168].Desc-NonOwner;Rumors say that Stalker Degtyarev was spotted in the %0:s territory at %1:s.
[StoryEvents.Event-169].Name;Degtyarev Attacks the Territory Garrison
[StoryEvents.Event-169].Desc-Owner;Damn it! Some stalker started a fight in the %0:s territory at %1:s! Our losses:
[StoryEvents.Event-169].Desc-NonOwner;Rumors say that an unknown stalker engaged in combat in the %0:s territory at %1:s.
[StoryEvents.Event-170].Name;Degtyarev Continues His Path
