[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Renegats-1].Name;Unknown
[Advisors.Advisor-ClearSky-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Orest].Name;Orest
[Advisors.Advisor-Stalkers-Levsha].Name;Lefty
[Advisors.Advisor-Stalkers-Dikiy].Name;Wild Napr
[Advisors.Advisor-Stalkers-Aidar].Name;Aydar
[Advisors.Advisor-Stalkers-Drozd].Name;Thrush
[Advisors.Advisor-Stalkers-Dog].Name;Hound
[Advisors.Advisor-Stalkers-Furgon].Name;Van
[Advisors.Advisor-Stalkers-Shilov].Name;Shilov
[Advisors.Advisor-Stalkers-Avoska].Name;Stringov
[Advisors.Advisor-Stalkers-Vasiliy].Name;Vasiliy
[Advisors.Advisor-Stalkers-Vasyan].Name;Vasyan
[Advisors.Advisor-Stalkers-Goblin].Name;Goblin
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Stalkers-Puzo].Name;Belly
[Advisors.Advisor-Stalkers-Ezh].Name;Vovka the Hedgehog
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Bandits-Borov].Name;Borov
[Advisors.Advisor-Bandits-Zhivoder].Name;Flayer
[Advisors.Advisor-Bandits-Zub].Name;Tooth
[Advisors.Advisor-Bandits-Prozrachniy].Name;Limpid
[Advisors.Advisor-Bandits-Senka].Name;Senka
[Advisors.Advisor-Bandits-Father].Name;Father
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Ovechko].Name;Semyon Lambee
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Soldiers-Haleckiy].Name;Major Khaletsky
[Advisors.Advisor-Soldiers-Sokolov].Name;Ensign Sokolov
[Advisors.Advisor-Duty-Zvyagincev].Name;Major Zvyagintsev
[Advisors.Advisor-Duty-Incvizitor].Name;Inquisitor
[Advisors.Advisor-Duty-Nalivayko].Name;Sergeant Nalivaiko
[Advisors.Advisor-Duty-Fekl].Name;Fyokl
[Advisors.Advisor-Duty-Kolobok].Name;Kolobok
[Advisors.Advisor-Duty-Sudar].Name;Sir
[Advisors.Advisor-Duty-Semen].Name;Semyon Semyonovich
[Advisors.Advisor-Duty-Milutin].Name;Milyutin
[Advisors.Advisor-Duty-Gromov].Name;Thunderov
[Advisors.Advisor-Duty-Mityay].Name;Mitay
[Advisors.Advisor-Duty-Lis].Name;Fox Bandicoot
[Advisors.Advisor-Duty-Galin].Name;Galin
[Advisors.Advisor-Duty-Serega].Name;Seryoga
[Advisors.Advisor-Freedom-Shukin].Name;Lingov
[Advisors.Advisor-Freedom-Voron].Name;Raven
[Advisors.Advisor-Freedom-Ganzha].Name;Ganja
[Advisors.Advisor-Freedom-Yar].Name;Yar
[Advisors.Advisor-Freedom-Kostuk].Name;Kostyan
[Advisors.Advisor-Freedom-Ashot].Name;Ashot
[Advisors.Advisor-Freedom-Zhurnalist].Name;Journalist
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Hog].Name;Hog
[Advisors.Advisor-Mercenaries-Leshiy].Name;Leshiy
[Advisors.Advisor-Mercenaries-Shtyr].Name;Pin
