[Common_Strings].StoryEventsLevelText;Reinforcements for the Monolith:
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Renegats-1].Name;Unknown
[Advisors.Advisor-ClearSky-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Orest].Name;Orest
[Advisors.Advisor-Stalkers-Levsha].Name;Lefty
[Advisors.Advisor-Stalkers-Dikiy].Name;Wild Napr
[Advisors.Advisor-Stalkers-Aidar].Name;Aydar
[Advisors.Advisor-Stalkers-Drozd].Name;Thrush
[Advisors.Advisor-Stalkers-Dog].Name;Hound
[Advisors.Advisor-Stalkers-Furgon].Name;Van
[Advisors.Advisor-Stalkers-Shilov].Name;Shilov
[Advisors.Advisor-Stalkers-Avoska].Name;Stringov
[Advisors.Advisor-Stalkers-Vasiliy].Name;Vasiliy
[Advisors.Advisor-Stalkers-Vasyan].Name;Vasyan
[Advisors.Advisor-Stalkers-Goblin].Name;Goblin
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Stalkers-Puzo].Name;Belly
[Advisors.Advisor-Stalkers-Ezh].Name;Vovka the Hedgehog
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Bandits-Borov].Name;Borov
[Advisors.Advisor-Bandits-Zhivoder].Name;Flayer
[Advisors.Advisor-Bandits-Zub].Name;Tooth
[Advisors.Advisor-Bandits-Prozrachniy].Name;Limpid
[Advisors.Advisor-Bandits-Senka].Name;Senka
[Advisors.Advisor-Bandits-Father].Name;Father
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Ovechko].Name;Semyon Lambee
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Soldiers-Haleckiy].Name;Major Khaletsky
[Advisors.Advisor-Soldiers-Sokolov].Name;Ensign Sokolov
[Advisors.Advisor-Duty-Zvyagincev].Name;Major Zvyagintsev
[Advisors.Advisor-Duty-Incvizitor].Name;Inquisitor
[Advisors.Advisor-Duty-Nalivayko].Name;Sergeant Nalivaiko
[Advisors.Advisor-Duty-Fekl].Name;Fyokl
[Advisors.Advisor-Duty-Kolobok].Name;Kolobok
[Advisors.Advisor-Duty-Sudar].Name;Sir
[Advisors.Advisor-Duty-Semen].Name;Semyon Semyonovich
[Advisors.Advisor-Duty-Milutin].Name;Milyutin
[Advisors.Advisor-Duty-Gromov].Name;Thunderov
[Advisors.Advisor-Duty-Mityay].Name;Mitay
[Advisors.Advisor-Duty-Lis].Name;Fox Bandicoot
[Advisors.Advisor-Duty-Galin].Name;Galin
[Advisors.Advisor-Duty-Serega].Name;Seryoga
[Advisors.Advisor-Freedom-Shukin].Name;Lingov
[Advisors.Advisor-Freedom-Voron].Name;Raven
[Advisors.Advisor-Freedom-Ganzha].Name;Ganja
[Advisors.Advisor-Freedom-Yar].Name;Yar
[Advisors.Advisor-Freedom-Kostuk].Name;Kostyan
[Advisors.Advisor-Freedom-Ashot].Name;Ashot
[Advisors.Advisor-Freedom-Zhurnalist].Name;Journalist
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Hog].Name;Hog
[Advisors.Advisor-Mercenaries-Leshiy].Name;Leshiy
[Advisors.Advisor-Mercenaries-Shtyr].Name;Pin
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;Ivan «One Dollar»
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of Security
[Advisors.Advisor-Scientists-Levsha].Name;Lefty
[Advisors.Advisor-Scientists-Platonov].Name;Platonov
[Advisors.Advisor-Renegats-Kosoy].Name;Oblique
[Advisors.Advisor-Renegats-Kruk].Name;Hook
[Advisors.Advisor-Renegats-Batya].Name;Dad
[Advisors.Advisor-Renegats-Krendel].Name;Pretzel
[Advisors.Advisor-Renegats-Grach].Name;Rook
[Advisors.Advisor-Renegats-Temniy].Name;Dark
[Advisors.Advisor-Renegats-Pirate].Name;Pirate
[Advisors.Advisor-Renegats-Sin].Name;Blue
[Advisors.Advisor-Renegats-Kayzer].Name;Kaiser
[Advisors.Advisor-ClearSky-Kalancha].Name;Kalancha
[Advisors.Advisor-ClearSky-Suslov].Name;Suslov
[Advisors.Advisor-ClearSky-Cold].Name;Cold
[Advisors.Advisor-ClearSky-Faster].Name;Nimble
[Advisors.Advisor-ClearSky-Tropnik].Name;Ivan Trodnik
[Advisors.Advisor-ClearSky-Petro].Name;Petro
[Advisors.Advisor-ClearSky-Vasilenko].Name;Vasilenko
[Advisors.Advisor-ClearSky-Petrenko].Name;Petrenko
[Advisors.Advisor-Zombie-Controler].Name;Controller
[Achievements.Achiv-1].Name;We Don't Need Scar!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture Limansk and hold it for 1 turn playing as Clear Sky.
[Achievements.Achiv-1].Desc-Logo;Capture Limansk and hold it for 1 turn playing as Clear Sky.
[Achievements.Achiv-2].Name;Who Are They?!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the entire Zone playing as the Mercenaries faction.
[Achievements.Achiv-2].Desc-Logo;Capture the entire Zone playing as the Mercenaries faction.
[Achievements.Achiv-3].Name;Brute Force!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture Limansk and hold it for 1 turn playing as the Military faction.
[Achievements.Achiv-3].Desc-Logo;Capture Limansk and hold it for 1 turn playing as the Military faction.
[Achievements.Achiv-4].Name;No Emission Needed!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the entire Zone playing as the Monolith faction on Master difficulty.
[Achievements.Achiv-4].Desc-Logo;Capture the entire Zone playing as the Monolith faction on Master difficulty.
[Achievements.Achiv-5].Name;Legitimate Money!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Legality ideology playing as the Mercenaries faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Legality ideology playing as the Mercenaries faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Name;Undercover Work!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Legality ideology playing as the Duty faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Legality ideology playing as the Duty faction on Master difficulty and survive for 1 turn.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Novice Village territory on the Cordon. Cost:
[Traders.Trader2].Name;Forester
[Traders.Trader2].NeedText;Trading with Forester is possible only if you control the Camp near the Kapper in the Red Forest location. Cost:
