[Common_Strings].StoryEventsLevelText;Help for Monolith and Zombies:
[Leaders.Leader-Diggers].Name;Wild Napr
[Leaders.Leader-Kosoy].Name;Oblique
[Leaders.Leader-Kruk].Name;Hook
[Leaders.Leader-Orest].Name;Orest
[Leaders.Leader-Soldiers1].Name;Major Khaletskiy
[Leaders.Leader-Soldiers2].Name;Commander
[Leaders.Leader-StalkersMilitary].Name;Unknown
[Leaders.Leader-Wolf].Name;Wolf
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-StalkersWolf-1].Name;Unknown
[Advisors.Advisor-StalkersDiggers-1].Name;Unknown
[Advisors.Advisor-StalkersOrest-1].Name;Unknown
[Advisors.Advisor-StalkersMilitary-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-SoldiersMilitary-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-BlackHand-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-RenegatsKosoy-1].Name;Unknown
[Advisors.Advisor-RenegatsKruk-1].Name;Unknown
[Advisors.Advisor-ClearSky-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Vasiliy].Name;Vasiliy
[Advisors.Advisor-Stalkers-Goblin].Name;Goblin
[Advisors.Advisor-Stalkers-Furgon].Name;Van
[Advisors.Advisor-Stalkers-Shilov].Name;Shilov
[Advisors.Advisor-Stalkers-Puzo].Name;Belly
[Advisors.Advisor-Stalkers-Ezh].Name;Vovka the Hedgehog
[Advisors.Advisor-StalkersWolf-Brodyaga].Name;Drifter
[Advisors.Advisor-StalkersWolf-Dog].Name;Hound
[Advisors.Advisor-StalkersDiggers-Garin].Name;Garin
[Advisors.Advisor-StalkersDiggers-Avoska].Name;Stringov
[Advisors.Advisor-StalkersDiggers-Vasyan].Name;Vasyan
[Advisors.Advisor-StalkersOrest-Aidar].Name;Aydar
[Advisors.Advisor-StalkersOrest-Drozd].Name;Thrush
[Advisors.Advisor-StalkersOrest-Otshelnik].Name;Hermit
[Advisors.Advisor-StalkersMilitary-Doctor].Name;Doctor
[Advisors.Advisor-StalkersMilitary-Shtir].Name;Pin
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Bandits-Borov].Name;Borov
[Advisors.Advisor-Bandits-Zhivoder].Name;Flayer
[Advisors.Advisor-Bandits-Zub].Name;Tooth
[Advisors.Advisor-Bandits-Prozrachniy].Name;Limpid
[Advisors.Advisor-Bandits-Senka].Name;Senka
[Advisors.Advisor-Bandits-Father].Name;Father
[Advisors.Advisor-SoldiersMilitary-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Ovechko].Name;Semyon Lambee
[Advisors.Advisor-SoldiersMilitary-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Soldiers-Sokolov].Name;Ensign Sokolov
[Advisors.Advisor-Duty-Zvyagincev].Name;Major Zvyagintsev
[Advisors.Advisor-Duty-Incvizitor].Name;Inquisitor
[Advisors.Advisor-Duty-Nalivayko].Name;Sergeant Nalivaiko
[Advisors.Advisor-Duty-Fekl].Name;Fyokl
[Advisors.Advisor-Duty-Kolobok].Name;Kolobok
[Advisors.Advisor-Duty-Sudar].Name;Sir
[Advisors.Advisor-Duty-Semen].Name;Semyon Semyonovich
[Advisors.Advisor-Duty-Milutin].Name;Milyutin
[Advisors.Advisor-Duty-Gromov].Name;Thunderov
[Advisors.Advisor-Duty-Mityay].Name;Mitay
[Advisors.Advisor-Duty-Lis].Name;Fox Bandicoot
[Advisors.Advisor-Duty-Galin].Name;Galin
[Advisors.Advisor-Duty-Serega].Name;Seryoga
