[SpecialEvents.Burst].Name;Выброс!
[SpecialEvents.Burst].Desc-Yes;В Зоне произошел сильный выброс. Мутанты стали более активными и похоже где-то могут начать буйствовать. Наши бойцы успешно пережили выброс, но даже в укрытиях им было тяжело, поэтому в расход пошло следующее число медикаментов
[SpecialEvents.Burst].Desc-No;В Зоне произошел сильный выброс. Мутанты стали более активными и похоже где-то могут начать буйствовать. Некоторые бойцы не смогли пережить выброс, из-за нехватки медикаментов, которые они были вынуждены использовать даже в укрытиях
[Advisors.Advisor-Mutants-1].Name;Неизвестно
[Advisors.Advisor-Stalkers-1].Name;Неизвестно
[Advisors.Advisor-Bandits-1].Name;Неизвестно
[Advisors.Advisor-Soldiers-1].Name;Неизвестно
[Advisors.Advisor-Duty-1].Name;Неизвестно
[Advisors.Advisor-Freedom-1].Name;Неизвестно
[Advisors.Advisor-Monolith-1].Name;Неизвестно
[Advisors.Advisor-Mercenaries-1].Name;Неизвестно
[Advisors.Advisor-Scientists-1].Name;Неизвестно
[Advisors.Advisor-Zombie-1].Name;Неизвестно
[Advisors.Advisor-Mutants-KolRazum].Name;Коллективный разум
[Advisors.Advisor-Stalkers-Wolf].Name;Волк
[Advisors.Advisor-Stalkers-Shustriy].Name;Шустрый
[Advisors.Advisor-Stalkers-Fanat].Name;Фанат
[Advisors.Advisor-Stalkers-Bes].Name;Бес
[Advisors.Advisor-Stalkers-Urik].Name;Юрик
[Advisors.Advisor-Stalkers-Seriy].Name;Серый
[Advisors.Advisor-Stalkers-Demon].Name;Олег «Демон» Гусаров
[Advisors.Advisor-Stalkers-Upir].Name;Упырь
[Advisors.Advisor-Stalkers-Arni].Name;Арни
[Advisors.Advisor-Stalkers-Krot].Name;Крот
[Advisors.Advisor-Stalkers-Lis].Name;Лис
[Advisors.Advisor-Stalkers-Diodor].Name;Отец Диодор
[Advisors.Advisor-Stalkers-Chuchelo].Name;Чучело
[Advisors.Advisor-Stalkers-Provodnik].Name;Проводник
[Advisors.Advisor-Stalkers-Doctor].Name;Доктор
[Advisors.Advisor-Bandits-Kaban].Name;Вася Кабан
[Advisors.Advisor-Bandits-Fraer].Name;Фраер
[Advisors.Advisor-Bandits-Kocherga].Name;Кочерга
[Advisors.Advisor-Bandits-Babtist].Name;Баптист
[Advisors.Advisor-Bandits-Chugun].Name;Чугун
[Advisors.Advisor-Soldiers-Kuznecov].Name;Майор Кузнецов
[Advisors.Advisor-Soldiers-Capitan].Name;Капитан
[Advisors.Advisor-Soldiers-Chuguykin].Name;Лейтенант Чугуйкин
[Advisors.Advisor-Soldiers-Specialist].Name;Специалист
[Advisors.Advisor-Soldiers-Poproshayko].Name;Майор Попрошайко
[Advisors.Advisor-Duty-Petrenko].Name;Полковник Петренко
[Advisors.Advisor-Duty-Cherep].Name;Череп
[Advisors.Advisor-Duty-Ivancov].Name;Капитан Иванцов
[Advisors.Advisor-Duty-Plichko].Name;Сержант Пличко
[Advisors.Advisor-Duty-Kizenko].Name;Сержант Киценко
[Advisors.Advisor-Duty-Prapor].Name;Прапор
[Advisors.Advisor-Duty-Lohmatiy].Name;Сергей Лохматый
[Advisors.Advisor-Duty-Barin].Name;Барин
[Advisors.Advisor-Duty-Pulya].Name;Пуля
[Advisors.Advisor-Freedom-Ugrumiy].Name;Угрюмый
[Advisors.Advisor-Freedom-Kep].Name;КЭП
[Advisors.Advisor-Freedom-Skryaga].Name;Скряга
[Advisors.Advisor-Freedom-Max].Name;Макс
[Advisors.Advisor-Freedom-Povar].Name;Повар
[Advisors.Advisor-Freedom-Pavlik].Name;Павлик
[Advisors.Advisor-Monolith-Propovednik].Name;Проповедник
[Advisors.Advisor-Monolith-Molitvennik].Name;Молитвенник
[Advisors.Advisor-Monolith-Messiya].Name;Мессия
[Advisors.Advisor-Mercenaries-Ara].Name;Ара
[Advisors.Advisor-Mercenaries-Tancpol].Name;Витя Танцпол
[Advisors.Advisor-Mercenaries-Avtobus].Name;Лёха Автобус
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Валера Ржавый
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Толян Штирлиц
[Advisors.Advisor-Mercenaries-Dollar].Name;"Иван ""Один доллар"""
[Advisors.Advisor-Mercenaries-Plintus].Name;Тимур Плинтус
[Advisors.Advisor-Scientists-Kruglov].Name;Профессор Круглов
[Advisors.Advisor-Scientists-Nachalnik].Name;Начальник охраны
[Advisors.Advisor-Scientists-Semenov].Name;Семенов
[Advisors.Advisor-Scientists-Zob].Name;Зоб
[Advisors.Advisor-Zombie-Kontroler].Name;Контролер
[Achievements.Achiv-1].Name;Загадавший желание!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить Саркофаг за любую группировку, кроме Монолит и Мутанты и удержать его в течении 1 хода.
[Achievements.Achiv-1].Desc-Logo;Захватить Саркофаг за любую группировку, кроме Монолит и Мутанты и удержать его в течении 1 хода.
[Achievements.Achiv-2].Name;Чики-брики и в дамки!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить всю Зону за группировку Бандиты.
[Achievements.Achiv-2].Desc-Logo;Захватить всю Зону за группировку Бандиты.
[Achievements.Achiv-3].Name;Я Легенда!
[Achievements.Achiv-3].Desc;Получено новое достижение! Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-3].Desc-Logo;Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-4].Name;Выполнил заказ!
[Achievements.Achiv-4].Desc;Получено новое достижение! Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-4].Desc-Logo;Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-5].Name;Криминальная секта!
[Achievements.Achiv-5].Desc;Получено новое достижение! Принять идеологию Сектантство за группировку Бандиты и продержаться 1 ход.
[Achievements.Achiv-5].Desc-Logo;Принять идеологию Сектанство за группировку Бандиты и продержаться 1 ход.
[Achievements.Achiv-6].Name;Отголосок Болот
[Achievements.Achiv-6].Desc;Получено новое достижение! Принять идеологию Стабильность за группировку Военные на уровне сложности Мастер и продержаться 1 ход.
[Achievements.Achiv-6].Desc-Logo;Принять идеологию Стабильность за группировку Военные на уровне сложности Мастер и продержаться 1 ход.
[Traders.World].Name;Внешний мир
[Traders.World].NeedText;Связь с внешним миром не всегда удается установить. Шанс 50%. Цена попытки установить связь:
[Traders.YourGroup].Name;Торговец вашей группировки
