[Common_Strings].StoryEventsLevelText;Reinforcements for the Monolith:
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Shustriy].Name;Nimble
[Advisors.Advisor-Stalkers-Fanat].Name;Fanatic
[Advisors.Advisor-Stalkers-Bes].Name;Bes
[Advisors.Advisor-Stalkers-Urik].Name;Yurik
[Advisors.Advisor-Stalkers-Seriy].Name;Seriy
[Advisors.Advisor-Stalkers-Demon].Name;Oleg «Friend» Gusarov
[Advisors.Advisor-Stalkers-Upir].Name;Vampire
[Advisors.Advisor-Stalkers-Arni].Name;Arnie
[Advisors.Advisor-Stalkers-Krot].Name;Mole
[Advisors.Advisor-Stalkers-Lis].Name;Fox
[Advisors.Advisor-Stalkers-Diodor].Name;Father Diodor
[Advisors.Advisor-Stalkers-Chuchelo].Name;Scarecrow
[Advisors.Advisor-Stalkers-Provodnik].Name;Guide
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Bandits-Kaban].Name;Vasya Boar
[Advisors.Advisor-Bandits-Fraer].Name;Friar
[Advisors.Advisor-Bandits-Kocherga].Name;Poker
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Soldiers-Kuznecov].Name;Major Kuznetsov
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Chuguykin].Name;Lieutenant Chuguykin
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Duty-Petrenko].Name;Colonel Petrenko
[Advisors.Advisor-Duty-Cherep].Name;Skull
[Advisors.Advisor-Duty-Ivancov].Name;Captain Ivantsov
[Advisors.Advisor-Duty-Plichko].Name;Sergeant Plichko
[Advisors.Advisor-Duty-Kizenko].Name;Sergeant Kitsenko
[Advisors.Advisor-Duty-Prapor].Name;Warrant Officer
[Advisors.Advisor-Duty-Lohmatiy].Name;Shaggy Sergei
[Advisors.Advisor-Duty-Barin].Name;Barin
[Advisors.Advisor-Duty-Pulya].Name;Bullet
[Advisors.Advisor-Freedom-Ugrumiy].Name;Murk
[Advisors.Advisor-Freedom-Kep].Name;Cap
[Advisors.Advisor-Freedom-Skryaga].Name;Skinflint
[Advisors.Advisor-Freedom-Max].Name;Max
[Advisors.Advisor-Freedom-Povar].Name;Chef
[Advisors.Advisor-Freedom-Pavlik].Name;Pavlik
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Ara].Name;Ara
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;Ivan «One Dollar»
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Scientists-Kruglov].Name;Professor Kruglov
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of security
[Advisors.Advisor-Scientists-Semenov].Name;Semenov
[Advisors.Advisor-Scientists-Zob].Name;Zob
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Achievements.Achiv-1].Name;Hold Me Back, Seven!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the entire Zone playing as the Scientists faction on Master difficulty.
[Achievements.Achiv-1].Desc-Logo;Capture the entire Zone playing as the Scientists faction on Master difficulty.
[Achievements.Achiv-2].Name;I Am the Law!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the entire Zone playing as the Military faction.
[Achievements.Achiv-2].Desc-Logo;Capture the entire Zone playing as the Military faction.
[Achievements.Achiv-3].Name;Locate and Eradicate!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture the Cordon location playing as the Monolith faction.
[Achievements.Achiv-3].Desc-Logo;Capture the Cordon location playing as the Monolith faction.
[Achievements.Achiv-4].Name;Not Your Comrade!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the Duty Base (Rostok) and Military Base (Army Warehouses) territories and hold them for 1 turn playing as the Loners faction.
[Achievements.Achiv-4].Desc-Logo;Capture the Duty Base (Rostok) and Military Base (Army Warehouses) territories and hold them for 1 turn playing as the Loners faction.
[Achievements.Achiv-5].Name;Beyond the Test Tubes!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Legality ideology playing as the Scientists faction and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Legality ideology playing as the Scientists faction and survive for 1 turn.
[Achievements.Achiv-6].Name;Money Over Ideals!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Mercenary ideology playing as the Duty faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Mercenary ideology playing as the Duty faction on Master difficulty and survive for 1 turn.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Chance: 50%. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Novice Village territory on the Cordon. Cost:
[Traders.Trader2].Name;Barman
[Traders.Trader2].NeedText;Barman will be available for trading only if you control the 100 Rads Bar territory. Cost:
[Traders.Trader3].Name;Sakharov
[Traders.Trader3].NeedText;Sakharov is available only if you control the Bunker territory on the Yantar location. Cost:
[StoryEvents.Event-Boost-1].Name;Selected Game Mode
[StoryEvents.Event-Boost-1].Desc-Owner;A mode with reinforcements for Monolith was selected, granting this faction additional fighters. Reinforcements arrive only within the current turn.
[StoryEvents.Event-Boost-1].Desc-NonOwner;A mode with reinforcements for Monolith was selected, granting this faction additional fighters. Reinforcements arrive only within the current turn.
[StoryEvents.Event-Boost-AddUnit-1].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-1].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-1].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-1.
[StoryEvents.Event-Boost-AddUnit-2].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-2].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-2].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-2.
[StoryEvents.Event-Boost-AddUnit-3].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-3].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
[StoryEvents.Event-Boost-AddUnit-3].Desc-NonOwner;If you see this, it's a bug in event Event-Boost-AddUnit-3.
[StoryEvents.Event-Boost-AddUnit-4].Name;Reinforcements Arrived!
[StoryEvents.Event-Boost-AddUnit-4].Desc-Owner;Reinforcements have arrived at territory %0:s at location %1:s!
