[Common_Strings].StoryEventsLevelText;Additional deputies for Duty, Loners and Scientists:
[SpecialEvents.Burst].Name;Emission!
[SpecialEvents.Burst].Desc-Yes;A major emission occurred in the Zone. Mutants became more active and appeared to be on the verge of a rampage. Our soldiers successfully survived the emission, but even in shelters they struggled, so the following amount of medical supplies were used:
[SpecialEvents.Burst].Desc-No;A major emission occurred in the Zone. Mutants became more active and appeared to be on the verge of a rampage. Some soldiers were unable to survive the emission due to a shortage of medical supplies, which they were forced to use even in shelters.
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Soldiers-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Freedom-1].Name;Unknown
[Advisors.Advisor-Monolith-1].Name;Unknown
[Advisors.Advisor-Mercenaries-1].Name;Unknown
[Advisors.Advisor-Scientists-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Shustriy].Name;Nimble
[Advisors.Advisor-Stalkers-Fanat].Name;Fanatic
[Advisors.Advisor-Stalkers-Bes].Name;Bes
[Advisors.Advisor-Stalkers-Urik].Name;Yurik
[Advisors.Advisor-Stalkers-Seriy].Name;Seriy
[Advisors.Advisor-Stalkers-Demon].Name;"Oleg "Friend" Gusarov"
[Advisors.Advisor-Stalkers-Upir].Name;Vampire
[Advisors.Advisor-Stalkers-Arni].Name;Arnie
[Advisors.Advisor-Stalkers-Krot].Name;Mole
[Advisors.Advisor-Stalkers-Lis].Name;Fox
[Advisors.Advisor-Stalkers-Diodor].Name;Father Diodor
[Advisors.Advisor-Stalkers-Chuchelo].Name;Scarecrow
[Advisors.Advisor-Stalkers-Provodnik].Name;Guide
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Bandits-Kaban].Name;Vasya Boar
[Advisors.Advisor-Bandits-Fraer].Name;Friar
[Advisors.Advisor-Bandits-Kocherga].Name;Poker
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Soldiers-Kuznecov].Name;Major Kuznetsov
[Advisors.Advisor-Soldiers-Capitan].Name;Captain
[Advisors.Advisor-Soldiers-Chuguykin].Name;Lieutenant Chuguykin
[Advisors.Advisor-Soldiers-Specialist].Name;Specialist
[Advisors.Advisor-Soldiers-Poproshayko].Name;Major Poproshaiko
[Advisors.Advisor-Duty-Petrenko].Name;Colonel Petrenko
[Advisors.Advisor-Duty-Cherep].Name;Skull
[Advisors.Advisor-Duty-Ivancov].Name;Captain Ivantsov
[Advisors.Advisor-Duty-Plichko].Name;Sergeant Plichko
[Advisors.Advisor-Duty-Kizenko].Name;Sergeant Kitsenko
[Advisors.Advisor-Duty-Prapor].Name;Warrant Officer
[Advisors.Advisor-Duty-Lohmatiy].Name;Shaggy Sergei
[Advisors.Advisor-Duty-Barin].Name;Barin
[Advisors.Advisor-Duty-Pulya].Name;Bullet
[Advisors.Advisor-Freedom-Ugrumiy].Name;Murk
[Advisors.Advisor-Freedom-Kep].Name;Cap
[Advisors.Advisor-Freedom-Skryaga].Name;Skinflint
[Advisors.Advisor-Freedom-Max].Name;Max
[Advisors.Advisor-Freedom-Povar].Name;Chef
[Advisors.Advisor-Freedom-Pavlik].Name;Pavlik
[Advisors.Advisor-Monolith-Propovednik].Name;Preacher
[Advisors.Advisor-Monolith-Molitvennik].Name;Devotee
[Advisors.Advisor-Monolith-Messiya].Name;Messiah
[Advisors.Advisor-Mercenaries-Ara].Name;Ara
[Advisors.Advisor-Mercenaries-Tancpol].Name;Vitya Dancefloor
[Advisors.Advisor-Mercenaries-Avtobus].Name;Lyokha Bus
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Valera Rusty
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Tolyan Stirlitz
[Advisors.Advisor-Mercenaries-Dollar].Name;"Ivan "One Dollar""
[Advisors.Advisor-Mercenaries-Plintus].Name;Timur Plintus
[Advisors.Advisor-Scientists-Kruglov].Name;Professor Kruglov
[Advisors.Advisor-Scientists-Nachalnik].Name;Head of security
[Advisors.Advisor-Scientists-Semenov].Name;Semenov
[Advisors.Advisor-Scientists-Zob].Name;Zob
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Achievements.Achiv-1].Name;Anarchy is the Mother of Order!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the Rostok Factory location playing as the Freedom faction and hold it for 1 turn.
[Achievements.Achiv-1].Desc-Logo;Capture the Rostok Factory location playing as the Freedom faction and hold it for 1 turn.
[Achievements.Achiv-2].Name;For the Sake of Duty!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the Army Warehouses location and hold it for 1 turn playing as the Duty faction.
[Achievements.Achiv-2].Desc-Logo;Capture the Army Warehouses location and hold it for 1 turn playing as the Duty faction.
[Achievements.Achiv-3].Name;Yeah, Right?
[Achievements.Achiv-3].Desc;New achievement unlocked! Survive the destruction of the Zombies faction playing as the Scientists on Master difficulty.
[Achievements.Achiv-3].Desc-Logo;Survive the destruction of the Zombies faction playing as the Scientists on Master difficulty.
[Achievements.Achiv-4].Name;Trade is the Path to Success!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture all three territories containing trader bases and hold them for 1 turn.
[Achievements.Achiv-4].Desc-Logo;Capture all three territories containing trader bases and hold them for 1 turn.
[Achievements.Achiv-5].Name;Covert Operation!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Legality ideology playing as the Loners faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Legality ideology playing as the Loners faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Name;A Hard Life!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Stalkering ideology playing as any faction except Loners and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Stalkering ideology playing as any faction except Loners and survive for 1 turn.
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Chance: 50%. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Novice Village territory on the Cordon. Cost:
[Traders.Trader2].Name;Barman
[Traders.Trader2].NeedText;Barman will be available for trading only if you control the 100 Rads Bar territory. Cost:
[Traders.Trader3].Name;Sakharov
[Traders.Trader3].NeedText;Sakharov is available only if you control the Bunker territory on the Yantar location. Cost:
[StoryEvents.Event-Stalkers-Info].Name;Additional Deputies
[StoryEvents.Event-Stalkers-Info].Desc-Owner;If you control territory %0:s at location %1:s by the end of turn 5, your faction will gain a new deputy candidate. This will also happen on turns 10, 15, 20, 25, 30, and 35.
[StoryEvents.Event-Stalkers-Info].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-Info.
[StoryEvents.Event-Duty-Info].Name;Additional Deputies
[StoryEvents.Event-Duty-Info].Desc-Owner;If you control territory %0:s at location %1:s by the end of turn 5, your faction will gain a new deputy candidate. This will also happen on turn 10.
[StoryEvents.Event-Duty-Info].Desc-NonOwner;If you see this message, it's a bug in event Event-Duty-Info.
[StoryEvents.Event-Scientists-Info].Name;Additional Deputy
[StoryEvents.Event-Scientists-Info].Desc-Owner;If you control territory %0:s at location %1:s by the end of turn 5, your faction will gain a new deputy candidate.
[StoryEvents.Event-Scientists-Info].Desc-NonOwner;If you see this message, it's a bug in event Event-Scientists-Info.
[StoryEvents.Event-Stalkers-1].Name;Faster
[StoryEvents.Event-Stalkers-1].Desc-Owner;A new deputy candidate is available.
[StoryEvents.Event-Stalkers-1].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-1.
[StoryEvents.Event-Stalkers-2].Name;Fox
[StoryEvents.Event-Stalkers-2].Desc-Owner;A new deputy candidate is available.
[StoryEvents.Event-Stalkers-2].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-2.
[StoryEvents.Event-Stalkers-3].Name;Yurik
[StoryEvents.Event-Stalkers-3].Desc-Owner;A new deputy candidate is available.
[StoryEvents.Event-Stalkers-3].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-3.
[StoryEvents.Event-Stalkers-4].Name;Bes
[StoryEvents.Event-Stalkers-4].Desc-Owner;A new deputy candidate is available.
[StoryEvents.Event-Stalkers-4].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-4.
[StoryEvents.Event-Stalkers-5].Name;Gray
[StoryEvents.Event-Stalkers-5].Desc-Owner;A new deputy candidate is available.
[StoryEvents.Event-Stalkers-5].Desc-NonOwner;If you see this message, it's a bug in event Event-Stalkers-5.
[StoryEvents.Event-Stalkers-6].Name;Mole
