[Form_Advisor].TitleText;Appointment of a new deputy commander of the faction's detachment
[Form_Advisor].Text1;Deputy detachment commander
[Form_Advisor].BTN_Appoint;Appoint a new deputy squad leader to replace the old one. The deputy's bonuses begin to apply from the moment of appointment.
[Form_Advisor].FHint1;The deputy commander of a faction's squad provides additional bonuses and influences the entire faction.
[Form_Advisor].LT_1;A new deputy commander has been appointed for the faction's detachment: %s
[Form_SearchArts].LHint_5;The sum of all bonuses and penalties from the faction's squad leader, deputy, internal faction rules, ideology, buildings, improvements, and terrain.
[Common_Strings].StatsHint0;Faction squad leader: %s
[Other].Exeption_37;Unknown squad leader: %s
[SpecialEvents.Burst].Name;Emission!
[SpecialEvents.Burst].Desc-Yes;A major emission occurred in the Zone. Mutants became more active and appeared to be on the verge of a rampage. Our soldiers successfully survived the emission, but even in shelters they struggled, so the following amount of medical supplies were used:
[SpecialEvents.Burst].Desc-No;A major emission occurred in the Zone. Mutants became more active and appeared to be on the verge of a rampage. Some soldiers were unable to survive the emission due to a shortage of medical supplies, which they were forced to use even in shelters.
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-Stalkers-1].Name;Unknown
[Advisors.Advisor-Bandits-1].Name;Unknown
[Advisors.Advisor-Duty-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective mind
[Advisors.Advisor-Stalkers-Wolf].Name;Wolf
[Advisors.Advisor-Stalkers-Shustriy].Name;Nimble
[Advisors.Advisor-Stalkers-Fanat].Name;Fanatic
[Advisors.Advisor-Stalkers-Bes].Name;Bes
[Advisors.Advisor-Stalkers-Urik].Name;Yurik
[Advisors.Advisor-Stalkers-Seriy].Name;Seriy
[Advisors.Advisor-Stalkers-Demon].Name;"Oleg "Friend" Gusarov"
[Advisors.Advisor-Stalkers-Upir].Name;Vampire
[Advisors.Advisor-Stalkers-Arni].Name;Arnie
[Advisors.Advisor-Stalkers-Krot].Name;Mole
[Advisors.Advisor-Stalkers-Lis].Name;Fox
[Advisors.Advisor-Stalkers-Diodor].Name;Father Diodor
[Advisors.Advisor-Stalkers-Chuchelo].Name;Scarecrow
[Advisors.Advisor-Stalkers-Provodnik].Name;Guide
[Advisors.Advisor-Stalkers-Doctor].Name;Doctor
[Advisors.Advisor-Bandits-Kaban].Name;Vasya Boar
[Advisors.Advisor-Bandits-Fraer].Name;Friar
[Advisors.Advisor-Bandits-Kocherga].Name;Poker
[Advisors.Advisor-Bandits-Babtist].Name;Baptist
[Advisors.Advisor-Bandits-Chugun].Name;Cast Iron
[Advisors.Advisor-Duty-Petrenko].Name;Colonel Petrenko
[Advisors.Advisor-Duty-Cherep].Name;Skull
[Advisors.Advisor-Duty-Ivancov].Name;Captain Ivantsov
[Advisors.Advisor-Duty-Plichko].Name;Sergeant Plichko
[Advisors.Advisor-Duty-Kizenko].Name;Sergeant Kitsenko
[Advisors.Advisor-Duty-Prapor].Name;Warrant Officer
[Advisors.Advisor-Duty-Lohmatiy].Name;Shaggy Sergei
[Advisors.Advisor-Duty-Barin].Name;Barin
[Advisors.Advisor-Duty-Pulya].Name;Bullet
[Achievements.Achiv-1].Name;Hold-up!
[Achievements.Achiv-1].Desc;New achievement unlocked! Capture the Garbage location playing as the Bandits faction on Master difficulty and hold it for 1 turn.
[Achievements.Achiv-1].Desc-Logo;Capture the Garbage location playing as the Bandits faction on Master difficulty and hold it for 1 turn.
[Achievements.Achiv-2].Name;Take Out the Trash!
[Achievements.Achiv-2].Desc;New achievement unlocked! Capture the Garbage location playing as the Duty faction on Veteran difficulty or higher and hold it for 1 turn.
[Achievements.Achiv-2].Desc-Logo;Capture the Garbage location playing as the Duty faction on Veteran difficulty or higher and hold it for 1 turn.
[Achievements.Achiv-3].Name;Demonic Mayhem!
[Achievements.Achiv-3].Desc;New achievement unlocked! Capture the Garbage location playing as the Loners faction on Experienced difficulty or higher and hold it for 1 turn.
[Achievements.Achiv-3].Desc-Logo;Capture the Garbage location playing as the Loners faction on Experienced difficulty or higher and hold it for 1 turn.
[Achievements.Achiv-4].Name;Supersonic!
[Achievements.Achiv-4].Desc;New achievement unlocked! Capture the Garbage location playing as any faction on any difficulty within 20 turns.
[Achievements.Achiv-4].Desc-Logo;Capture the Garbage location playing as any faction on any difficulty within 20 turns.
[Achievements.Achiv-5].Name;The Cleaner!
[Achievements.Achiv-5].Desc;New achievement unlocked! Adopt the Anti-Zone ideology playing as the Loners faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-5].Desc-Logo;Adopt the Anti-Zone ideology playing as the Loners faction on Master difficulty and survive for 1 turn.
[Achievements.Achiv-6].Name;Nothing but Anarchy!
[Achievements.Achiv-6].Desc;New achievement unlocked! Adopt the Anarchy ideology playing as the Loners faction on Veteran difficulty by turn 30 or earlier and survive for 1 turn.
[Achievements.Achiv-6].Desc-Logo;Adopt the Anarchy ideology playing as the Loners faction on Master difficulty by turn 30 or earlier and survive for 1 turn.
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
[Traders.Trader1].Name;Sidorovich
[Traders.Trader1].NeedText;Trading with him is possible only if you control the Cordon Transition territory. Cost:
[Traders.Trader2].Name;Barman
[Traders.Trader2].NeedText;Barman will be available for trading only if you control the Northern Checkpoint territory. Cost:
[StoryEvents.Event-Dump-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-ChangeOwner-1].Name;Territory Lost
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-Owner;We have lost control of territory %0:s at location %1:s.
[StoryEvents.Event-Dump-ChangeOwner-1].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-ChangeOwner-1.
[StoryEvents.Event-Dump-Advisor-1].Name;Yurik Rescued
[StoryEvents.Event-Dump-Advisor-1].Desc-Owner;Yurik is now available as a deputy candidate!
[StoryEvents.Event-Dump-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-Advisor-1.
[StoryEvents.Event-Dump-ChangeOwner-2].Name;Territory Lost
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-Owner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Dump-ChangeOwner-2].Desc-NonOwner;If you see this, it's a bug in event Event-Cordon-ChangeOwner-2.
[StoryEvents.Event-Dump-AddUnit-1].Name;Technical Event
[StoryEvents.Event-Dump-AddUnit-1].Desc-Owner;If you see this, it's a bug in event Event-Dump-AddUnit-1.
[StoryEvents.Event-Dump-AddUnit-1].Desc-NonOwner;If you see this, it's a bug in event Event-Dump-AddUnit-1.
[StoryEvents.Event-Dump-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-7].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-7].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-7].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-8].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-8].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-9].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-9].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-9].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-10].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-10].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-11].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-11].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-11].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-12].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-12].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-13].Name;The Marked One continues his journey
[StoryEvents.Event-Dump-13].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump-13].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump-14].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump-14].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-Advisor-1].Name;Mole
[StoryEvents.Event-Agroprom-Advisor-1].Desc-Owner;Mole is now available as a deputy candidate!
[StoryEvents.Event-Agroprom-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-Agroprom-Advisor-1.
[StoryEvents.Event-Agroprom-Documents].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-Documents].Desc-Owner;We received intelligence that the Marked One stole some important documents from the Military base.
[StoryEvents.Event-Agroprom-Documents].Desc-NonOwner;Rumors say that the Marked One stole some important documents from the Military base.
[StoryEvents.Event-Dump2-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump2-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump2-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump2-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump2-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump2-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump2-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-7].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-7].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump2-7].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-8].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump2-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-8].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-9].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-9].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump2-9].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-10].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump2-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-10].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-Barmen].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-Barmen].Desc-Owner;The Marked One met with Barman and is heading to Dark Valley.
[StoryEvents.Event-Rostok-Barmen].Desc-NonOwner;The Marked One met with Barman and is heading to Dark Valley.
[StoryEvents.Event-Dump3-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-Advisor-1].Name;Bullet
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-Owner;Bullet is now available as a deputy candidate!
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-Advisor-1.
[StoryEvents.Event-DarkVallery-Advisor-2].Name;Shaggy Sergey
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-Owner;Shaggy Sergey is now available as a deputy candidate!
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-Advisor-2.
[StoryEvents.Event-DarkVallery-ChangeLeader].Name;Death of Boar
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-Owner;"As a result of the Marked One's attack, the faction leader has been killed. Several "authorities" organized a meeting and decided to temporarily manage the faction through collective decision-making. Despite maintaining faction unity, this has led to a slight decrease in manageability."
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-NonOwner;"As a result of the Marked One's attack, the faction leader has been killed. Several "authorities" organized a meeting and decided to temporarily manage the faction through collective decision-making. Despite maintaining faction unity, this has led to a slight decrease in manageability."
[StoryEvents.Event-Cordon2-1].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon2-1].Desc-Owner;We received intelligence that the Marked One has been detected on the Cordon and is moving towards location %1:s.
[StoryEvents.Event-Cordon2-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted on the Cordon and is moving towards location %1:s.
[StoryEvents.Event-Dump4-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump4-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump4-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump4-2].Name;The Marked One attacked the territory garrison
