[Leaders.Leader-Krot].Name;Mole
[Leaders.Leader-Deserter].Name;Unknown
[Leaders.Leader-Wolf].Name;Wolf
[Leaders.Leader-Bes].Name;Bes
[Leaders.Leader-Lis].Name;Fox
[Leaders.Leader-Seriy].Name;Seriy
[Leaders.Leader-DV].Name;Unknown
[Leaders.Leader-Bar].Name;Unknown
[Leaders.Leader-Arm].Name;Unknown
[Leaders.Leader-Kaban].Name;Vasya Boar
[Leaders.Leader-Hunters].Name;Unknown
[Leaders.Leader-ZombieRadar].Name;Unknown
[Leaders.Leader-Crazy].Name;A fool with a certificate
[Leaders.Leader-Patrol].Name;Ara
[Leaders.Leader-Cherep].Name;Colonel Skull
[Leaders.Leader-7].Name;Wolfhound
[Groups.Stalkers.:main].Name;Wolf's Group
[Groups.StalkersSeriy.:main].Name;Gray's Group
[Groups.StalkersBes.:main].Name;Bes's Group
[Groups.StalkersDiggers.:main].Name;Diggers
[Groups.StalkersDV.:main].Name;The Rotten
[Groups.StalkersBar.:main].Name;Loners
[Groups.StalkersMilitary.:main].Name;Masters' Group
[Groups.BanditsKaban.:main].Name;Boar's Gang
[Groups.DutyCherep.:main].Name;Skull's Group
[Groups.Patrol.:main].Name;The Watch
[Groups.BanditsHunters.:main].Name;Trappers' Gang
[Groups.Deserters.:main].Name;Deserters
[Groups.StalkersLis.:main].Name;Fox's Group
[Groups.Zombie.:main].Name;Yantar Zombies
[Groups.ZombieRadar.:main].Name;Radar Zombies
[Groups.Crazy.:main].Name;The Madmen
[Groups.Mercenaries.:main].Name;Volkodav's Squad
[Groups.Stalkers.:main].Description;Wolf's Group - poorly organized squads of rookie stalkers located in the southern part of the Cordon. No one takes this group seriously. It will take skilled leadership and luck to overcome threats like the Military and Bandits.
[Groups.StalkersSeriy.:main].Description;Gray's Group - a small stalker group in the Hangar on the Garbage. On the verge of destruction due to bandits. Must find a way to survive without Strelok's help.
[Groups.StalkersBes.:main].Description;Bes's Group - a small stalker team in the south of the Garbage. Trying to hold a key location point. Surrounded on almost all sides by Bandits. The group is on the verge of destruction.
[Groups.StalkersDiggers.:main].Description;Diggers - a serious force at Agroprom. Must expand control around the base and capture artifact points for further successful development. Beware of the Military and "guests" from the Garbage.
[Groups.StalkersDV.:main].Description;The Rotten - a suspicious stalker group from Dark Valley. They have a bad reputation. Rumors say they scam people out of money. Despite a decent location, they have several drawbacks, the most obvious being their proximity to the Bandit base.
[Groups.StalkersBar.:main].Description;Loners lack a clear hierarchy and a single leader. Their advantage lies in a predisposition for artifact hunting, which will greatly benefit their finances in capable hands. Located at the Rostok Factory. The faction must decide on its developmental priorities.
[Groups.StalkersMilitary.:main].Description;Masters' Group - several stalkers from Krivaya Balka at Army Warehouses. Their central location on the map allows for expansion in any direction. They face problems with stalker recruitment and desperately need to capture an artifact point.
[Groups.BanditsKaban.:main].Description;Boar's Gang - a small gang based on the outskirts of the Garbage. They start by controlling an artifact point, which is a significant plus, but the lack of manpower forces them to seek expansion paths, which may lead to conflict with the main Bandit faction. Must find the right developmental vectors for this small faction.
[Groups.DutyCherep.:main].Description;Skull's Group - a splinter Duty detachment led by Colonel Skull. The squad consists of Duty's elite. They are also called "Duty Special Forces" due to their experience, training, and gear. The group declares its main goal as decisive action against Freedom, including capturing their base. Must decide on developmental priorities and prevent the squad from falling under Freedom's assault.
[Groups.Patrol.:main].Description;The Watch - a Mercenary squad guarding a checkpoint on the outskirts of Army Warehouses. Despite excellent weaponry, their survival prospects are doubtful against more numerous factions unless they focus on the economic side of the group.
