[SpecialEvents.BrainPsy].Name;Psi-Emitter Activation!
[SpecialEvents.BrainPsy].Desc-Yes;Warning! Due to psi-emission exposure, we have suffered casualties. Command recommends checking fighters in compromised territories.
[SpecialEvents.BrainPsy].Desc-No;It appears psi-emission exposure has shaken our fighters' minds, but they endured the trial. No casualties reported.
[SpecialEvents.BrainPsyStatus].Name;Emitter Installation on Location
[SpecialEvents.BrainPsyStatus].Desc-Yes;Warning! The psi-emitter installation at this location is active again!
[SpecialEvents.BrainPsyStatus].Desc-No;Warning! The psi-emitter installation at this location has been deactivated!
[Advisors.Advisor-Mutants-1].Name;Unknown
[Advisors.Advisor-FirstGroup-1].Name;Unknown
[Advisors.Advisor-SecondGroup-1].Name;Unknown
[Advisors.Advisor-Zombie-1].Name;Unknown
[Advisors.Advisor-Mutants-KolRazum].Name;Collective Mind
[Advisors.Advisor-FirstGroup-Balance-1].Name;Scout
[Advisors.Advisor-FirstGroup-Balance-2].Name;Administrator
[Advisors.Advisor-FirstGroup-Balance-3].Name;Enforcer
[Advisors.Advisor-FirstGroup-Balance-4].Name;Agitator
[Advisors.Advisor-FirstGroup-Gray].Name;Gray
[Advisors.Advisor-FirstGroup-White].Name;White
[Advisors.Advisor-FirstGroup-Black].Name;Dark
[Advisors.Advisor-SecondGroup-Balance-1].Name;Scout
[Advisors.Advisor-SecondGroup-Balance-2].Name;Administrator
[Advisors.Advisor-SecondGroup-Balance-3].Name;Enforcer
[Advisors.Advisor-SecondGroup-Balance-4].Name;Agitator
[Advisors.Advisor-SecondGroup-Balance-5].Name;Gray
[Advisors.Advisor-SecondGroup-White].Name;White
[Advisors.Advisor-SecondGroup-Black].Name;Dark
[Advisors.Advisor-Zombie-Kontroler].Name;Controller
[Traders.World].Name;Outside World
[Traders.World].NeedText;Contact with the Outside World cannot always be established. Chance: 50%. Cost per connection attempt:
[Traders.YourGroup].Name;Your Faction Trader
[Traders.YourGroup].NeedText;You can always trade with your faction trader. Cost:
[Traders.OtherGroup].Name;Enemy Faction Trader
[Traders.OtherGroup].NeedText;To trade with other factions, first select an enemy territory on the map.
ScenarioName;2 Players. Versus
ScenarioDescription;The last Emission created several teleportation anomalies leading to this strange location. It appears spatial anomalous spheres, or something similar, recently transported fragments of buildings, ruins, forests, and clearings here. Lonely high-rises in open fields, roads leading nowhere, and numerous other oddities await stalkers! A 1v1 location map. Fully mirrored balance - both sides have identical starting conditions. This scenario has no turn limit. You must capture the entire location.
