[Rules.Rule-1].Name;Максимальная децентрализация
[Rules.Rule-2].Name;Децентрализация
[Rules.Rule-3].Name;Сбалансированное управление
[Rules.Rule-4].Name;Централизация
[Rules.Rule-5].Name;Максимальная централизация
[Rules.Rule-6].Name;Полная автоматизация поиска артефактов
[Rules.Rule-7].Name;Частичная автоматизация поиска артефактов
[Rules.Rule-8].Name;Сбалансированный поиск
[Rules.Rule-9].Name;Картографирование аномалий
[Rules.Rule-10].Name;Слежение за аномалиями
[Rules.Rule-11].Name;Параноидальная контрразведка
[Rules.Rule-12].Name;Упор на контрразведку
[Rules.Rule-13].Name;Сбалансированная разведка
[Rules.Rule-14].Name;Упор на разведку
[Rules.Rule-15].Name;Разведовательная сеть
[Rules.Rule-16].Name;Круговая оборона
[Rules.Rule-17].Name;Упор на оборону
[Rules.Rule-18].Name;Сбалансированность
[Rules.Rule-19].Name;Упор на атаку
[Rules.Rule-20].Name;Масштабное наступление
[Advisors.Advisor-0].Name;Неизвестно
[Advisors.Advisor-3].Name;Неизвестно
[Advisors.Advisor-6].Name;Неизвестно
[Advisors.Advisor-11].Name;Неизвестно
[Advisors.Advisor-13].Name;Коллективный разум
[Advisors.Advisor-47].Name;Капитан Клименко
[Advisors.Advisor-48].Name;Капитан Тарасов
[Advisors.Advisor-49].Name;Лейтенант Кириллов
[Advisors.Advisor-50].Name;Лейтенант Подорожный
[Advisors.Advisor-51].Name;Лейтенант Роговец
[Advisors.Advisor-52].Name;Лейтенант Сергеев
[Advisors.Advisor-53].Name;Лейтенант Скеля
[Advisors.Advisor-54].Name;Лейтенант Стеценко
[Advisors.Advisor-55].Name;Прапорщик Валентир
[Advisors.Advisor-56].Name;Сержант Валюшок
[Advisors.Advisor-57].Name;Ст. сержант Морозов
[Advisors.Advisor-58].Name;Сержант Меркулов
[Advisors.Advisor-59].Name;Сержант Островский
[Advisors.Advisor-60].Name;Сержант Ярмошук
[Advisors.Advisor-61].Name;Бродяга
[Advisors.Advisor-62].Name;Дегтярёв
[Advisors.Advisor-72].Name;Проповедник
[Advisors.Advisor-73].Name;Молитвенник
[Advisors.Advisor-74].Name;Мессия
[Advisors.Advisor-75].Name;Бродяга
[Advisors.Advisor-112].Name;Контролер
[Achievements.Achiv-1].Name;Монолит еще вернётся!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить локацию Восточную Припять за группировку Монолит на уровне сложности Мастер!
[Achievements.Achiv-1].Desc-Logo;Захватить локацию Восточную Припять за группировку Монолит на уровне сложности Мастер.
[Achievements.Achiv-2].Name;Эвакуация не нужна!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить локацию Восточную Припять за группировку Военные на уровне сложности Мастер.
[Achievements.Achiv-2].Desc-Logo;Захватить локацию Восточную Припять за группировку Военные на уровне сложности Мастер.
[Achievements.Achiv-3].Name;Большая стирка!
[Achievements.Achiv-3].Desc;Получено новое достижение! В течение 6 ходов захватить территорию Прачечная локации Восточная Припять и удерживать 1 ход за группировку Монолит!
[Achievements.Achiv-3].Desc-Logo;В течение 6 ходов захватить территорию Прачечная локации Восточная Припять и удерживать 1 ход за группировку Монолит.
[Achievements.Achiv-4].Name;Снова в школу!
[Achievements.Achiv-4].Desc;Получено новое достижение! В течение 2 ходов захватить территорию Школа №1 локации Восточная Припять и удерживать 1 ход за группировку Военные на уровне сложности Ветеран или выше.
[Achievements.Achiv-4].Desc-Logo;В течение 2 ходов захватить территорию Школа №1 локации Восточная Припять и удерживать 1 ход за группировку Военные на уровне сложности Ветеран или выше.
[Achievements.Achiv-5].Name;Припятские Пираты!
[Achievements.Achiv-5].Desc;Получено новое достижение! Принять идеологию Криминал в течение 20 ходов за группировку Военные на уровне сложности Ветеран или выше и продержаться 1 ход.
[Achievements.Achiv-5].Desc-Logo;Принять идеологию Криминал в течение 20 ходов за группировку Военные на уровне сложности Ветеран или выше и продержаться 1 ход.
[Achievements.Achiv-6].Name;Опасный эксперимент!
[Achievements.Achiv-6].Desc;Получено новое достижение! Принять идеологию Изучение в течение 20 ходов за группировку Военные на уровне сложности Опытный или выше и продержаться 1 ход.
[Achievements.Achiv-6].Desc-Logo;Принять идеологию Изучение в течение 20 ходов за группировку Военные на уровне сложности Опытный или выше и продержаться 1 ход.
[Traders.YourGroup].Name;Торговец вашей группировки
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
