[Common_Strings].StoryEventsLevelText;Доп. замы (рекомендуется):
[Form_World].LT_4;Группировка изменила состояние вентиляции на территории %s локации %s
[Form_World].FilterHint_6;Биологическая опасность
[Form_ZonaMenu].FT_11;, присутствует пульт вентиляции
[Form_ZonaMenu].FHint9;Наличие смертельного уровня биологической опасности
[Form_ZonaMenu].BTNHint9;Управлять состоянием вентиляции
[Form_PsyControl].TitleText;Действия с вентиляцией
[Form_PsyControl].LT_2;Состояние вентиляции: %s
[Form_PsyControl].LT_3;Вы можете как включать, так и выключать вентиляцию. Стоимость действия %s КР. Учтите, что опасный воздух может воздействовать не только на эту территорию, но и на соседние. Будьте готовы к грядущим непредсказуемым изменениям!
[Form_PsyControl].FT_1;Вы не можете включать или выключать вентиляцию. Учтите, что опасный воздух может воздействовать не только на эту территорию, но и на другие. Будьте осторожны!
[Form_PsyControl].FT_2;Выключена
[Form_PsyControl].FT_3;Включена
[Buttons].BTN_PsyControl.Text;Вентиляция
[Leaders.Leader-Killers].Name;Неизвестно
[Leaders.Leader-Noon].Name;Бродяга
[Leaders.Leader-Noy].Name;Ной
[Leaders.Leader-Shishak].Name;Шишак
[Leaders.Leader-Spartak].Name;Спартак
[Leaders.Leader-Sultan].Name;Султан
[Leaders.Leader-Valet].Name;Валет
[Advisors.Advisor-Mutants-1].Name;Неизвестно
[Advisors.Advisor-Stalkers-1].Name;Неизвестно
[Advisors.Advisor-Bandits-1].Name;Неизвестно
[Advisors.Advisor-Soldiers-1].Name;Неизвестно
[Advisors.Advisor-Duty-1].Name;Неизвестно
[Advisors.Advisor-Freedom-1].Name;Неизвестно
[Advisors.Advisor-Monolith-1].Name;Неизвестно
[Advisors.Advisor-Mercenaries-1].Name;Неизвестно
[Advisors.Advisor-Scientists-1].Name;Неизвестно
[Advisors.Advisor-Zombie-1].Name;Неизвестно
[Advisors.Advisor-StalkersYanov-1].Name;Неизвестно
[Advisors.Advisor-StalkersSpartak-1].Name;Неизвестно
[Advisors.Advisor-StalkersNoy-1].Name;Неизвестно
[Advisors.Advisor-BanditsValet-1].Name;Неизвестно
[Advisors.Advisor-BanditsShishak-1].Name;Неизвестно
[Advisors.Advisor-BanditsKillers-1].Name;Неизвестно
[Advisors.Advisor-Noon-1].Name;Неизвестно
[Advisors.Advisor-Mutants-KolRazum].Name;Коллективный разум
[Advisors.Advisor-StalkersYanov-Azot].Name;Азот
[Advisors.Advisor-StalkersYanov-Senka].Name;Сенька
[Advisors.Advisor-Stalkers-Boroda].Name;Борода
[Advisors.Advisor-StalkersYanov-Vano].Name;Вано
[Advisors.Advisor-Stalkers-Vobla].Name;Вобла
[Advisors.Advisor-StalkersYanov-Gavaec].Name;Гаваец
[Advisors.Advisor-Stalkers-Garmata].Name;Гармата
[Advisors.Advisor-Stalkers-Gluhar].Name;Глухарь
[Advisors.Advisor-Stalkers-Gonta].Name;Гонта
[Advisors.Advisor-Stalkers-Greben].Name;Гребень
[Advisors.Advisor-StalkersYanov-Zveroboy].Name;Зверобой
[Advisors.Advisor-StalkersYanov-Zulus].Name;Зулус
[Advisors.Advisor-Stalkers-Kardan].Name;Кардан
[Advisors.Advisor-Stalkers-Koryaga].Name;Коряга
[Advisors.Advisor-StalkersYanov-Kostoprav].Name;Костоправ
[Advisors.Advisor-Stalkers-Krab].Name;Краб
[Advisors.Advisor-Stalkers-Kuvalda].Name;Кувалда
[Advisors.Advisor-Stalkers-Locman].Name;Лоцман
[Advisors.Advisor-StalkersYanov-Medved].Name;Медведь
[Advisors.Advisor-StalkersYanov-Mityay].Name;Митяй
[Advisors.Advisor-Stalkers-Petruha].Name;Петруха
[Advisors.Advisor-Stalkers-Sich].Name;Сыч
[Advisors.Advisor-StalkersYanov-Torba].Name;Торба
[Advisors.Advisor-Stalkers-Tremor].Name;Тремор
[Advisors.Advisor-Stalkers-Shilo].Name;Шило
[Advisors.Advisor-StalkersNoy-Lessi].Name;Лесси
[Advisors.Advisor-BanditsShishak-Gnom].Name;Гном
[Advisors.Advisor-Bandits-Kastet].Name;Кастет
[Advisors.Advisor-BanditsValet-Bodyguard].Name;Телохранитель
[Advisors.Advisor-BanditsKillers-Baptist].Name;Баптист
[Advisors.Advisor-Soldiers-Klimenko].Name;Капитан Клименко
[Advisors.Advisor-Soldiers-Tarasov].Name;Капитан Тарасов
[Advisors.Advisor-Soldiers-Kirillov].Name;Лейтенант Кириллов
[Advisors.Advisor-Soldiers-Podorozhniy].Name;Лейтенант Подорожный
[Advisors.Advisor-Soldiers-Rogovec].Name;Лейтенант Роговец
[Advisors.Advisor-Soldiers-Sergeev].Name;Лейтенант Сергеев
[Advisors.Advisor-Soldiers-Skelya].Name;Лейтенант Скеля
[Advisors.Advisor-Soldiers-Stecenko].Name;Лейтенант Стеценко
[Advisors.Advisor-Soldiers-Valentir].Name;Прапорщик Валентир
[Advisors.Advisor-Soldiers-Valushok].Name;Сержант Валюшок
[Advisors.Advisor-Soldiers-Morozov].Name;Ст. сержант Морозов
[Advisors.Advisor-Soldiers-Merkulov].Name;Сержант Меркулов
[Advisors.Advisor-Soldiers-Ostrovskiy].Name;Сержант Островский
[Advisors.Advisor-Soldiers-Yarmoshuk].Name;Сержант Ярмошук
[Advisors.Advisor-Duty-Capitan].Name;Вербовщик Капитан
[Advisors.Advisor-Duty-Gavrilenko].Name;Лейтенант Гавриленко
[Advisors.Advisor-Duty-Morgan].Name;Морган
[Advisors.Advisor-Freedom-Gayduk].Name;Гайдук
[Advisors.Advisor-Freedom-Yar].Name;Дядька Яр
[Advisors.Advisor-Freedom-Kremen].Name;Кремень
[Advisors.Advisor-Freedom-Flint].Name;Флинт
[Advisors.Advisor-Monolith-Propovednik].Name;Проповедник
[Advisors.Advisor-Monolith-Molitvennik].Name;Молитвенник
[Advisors.Advisor-Monolith-Messiya].Name;Мессия
[Advisors.Advisor-Mercenaries-Kruk].Name;Крюк
[Advisors.Advisor-Mercenaries-Tesak].Name;Тесак
[Advisors.Advisor-Mercenaries-Grif].Name;Гриф
[Advisors.Advisor-Mercenaries-Gazon].Name;Газон
[Advisors.Advisor-Mercenaries-Dub].Name;Дуб
[Advisors.Advisor-Mercenaries-Pianist].Name;Пианист
[Advisors.Advisor-Mercenaries-Kirzach].Name;Кирзач
[Advisors.Advisor-Mercenaries-Goblin].Name;Гоблин
[Advisors.Advisor-Mercenaries-Hrebet].Name;Хребет
[Advisors.Advisor-Mercenaries-Tank].Name;Танк
[Advisors.Advisor-Mercenaries-Rilo].Name;Рыло
[Advisors.Advisor-Scientists-Topol].Name;Тополь
[Advisors.Advisor-Scientists-Bulava].Name;Булава
[Advisors.Advisor-Scientists-Duh].Name;Дух
[Advisors.Advisor-Scientists-Zmey].Name;Змей
[Advisors.Advisor-Scientists-Garik].Name;Гарик
[Advisors.Advisor-Scientists-Sokolov].Name;Лейтенант Соколов
[Advisors.Advisor-Scientists-Ozerskiy].Name;Профессор Озёрский
[Advisors.Advisor-Scientists-Novikov].Name;Новиков
[Advisors.Advisor-Noon-Bronya].Name;Броня
[Advisors.Advisor-Noon-Serp].Name;Серп
[Advisors.Advisor-Noon-Morzh].Name;Морж
[Advisors.Advisor-Noon-Tihiy].Name;Тихий
[Advisors.Advisor-Noon-Foma].Name;Фома
[Advisors.Advisor-Zombie-Kontroler].Name;Контролер
[Achievements.Achiv-1].Name;Подозрительные парни!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить всю Зону за группировку Банда Убийцы на уровне сложности Мастер.
[Achievements.Achiv-1].Desc-Logo;Захватить всю Зону за группировку Банда Убийцы на уровне сложности Мастер.
[Achievements.Achiv-2].Name;Набрать заложников!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить всю Зону за группировку Банда Шишака на уровне сложности Мастер.
[Achievements.Achiv-2].Desc-Logo;Захватить всю Зону за группировку Банда Шишака на уровне сложности Мастер.
[Achievements.Achiv-3].Name;Купи комбез, а?
[Achievements.Achiv-3].Desc;Получено новое достижение! Захватить локацию Окрестности Юпитера и удерживать 1 ход за группировку Банда Валета на любом уровне сложности.
[Achievements.Achiv-3].Desc-Logo;Захватить локацию Окрестности Юпитера и удерживать 1 ход за группировку Банда Валета на любом уровне сложности.
[Achievements.Achiv-4].Name;Навести порядок!
[Achievements.Achiv-4].Desc;Получено новое достижение! Захватить локацию Затон и удерживать 1 ход за группировку Группа Спартака на уровне сложности Ветеран или выше.
[Achievements.Achiv-4].Desc-Logo;Наобходимо захватить локацию Затон и удерживать 1 ход за группировку Группа Спартака на уровне сложности Ветеран или выше.
[Achievements.Achiv-5].Name;Получить индульгенцию!
[Achievements.Achiv-5].Desc;Получено новое достижение! Принять идеологию Сектантство в течение 15 ходов за группировку Группа Бродяги на любом уровне сложности и продержаться 1 ход.
[Achievements.Achiv-5].Desc-Logo;Необходимо принять идеологию Сектантство в течение 15 ходов за группировку Группа Бродяги на любом уровне сложности и продержаться 1 ход.
[Achievements.Achiv-6].Name;Деньги любят тишину!
