[Form_ScenarioSettings].Text3;Помощь для Монолита и Зомбированных:
[Leaders.Leader-Diggers].NameName;Дикий Напр
[Leaders.Leader-Kosoy].NameName;Косой
[Leaders.Leader-Kruk].NameName;Крюк
[Leaders.Leader-Orest].NameName;Орест
[Leaders.Leader-Soldiers1].NameName;Майор Халецкий
[Leaders.Leader-Soldiers2].NameName;Командир
[Leaders.Leader-StalkersMilitary].NameName;Неизвестно
[Leaders.Leader-Wolf].NameName;Волк
[Advisors.Advisor-Mutants-1].Name;Неизвестно
[Advisors.Advisor-Stalkers-1].Name;Неизвестно
[Advisors.Advisor-StalkersWolf-1].Name;Неизвестно
[Advisors.Advisor-StalkersDiggers-1].Name;Неизвестно
[Advisors.Advisor-StalkersOrest-1].Name;Неизвестно
[Advisors.Advisor-StalkersMilitary-1].Name;Неизвестно
[Advisors.Advisor-Bandits-1].Name;Неизвестно
[Advisors.Advisor-Soldiers-1].Name;Неизвестно
[Advisors.Advisor-SoldiersMilitary-1].Name;Неизвестно
[Advisors.Advisor-Duty-1].Name;Неизвестно
[Advisors.Advisor-Freedom-1].Name;Неизвестно
[Advisors.Advisor-Monolith-1].Name;Неизвестно
[Advisors.Advisor-BlackHand-1].Name;Неизвестно
[Advisors.Advisor-Mercenaries-1].Name;Неизвестно
[Advisors.Advisor-Scientists-1].Name;Неизвестно
[Advisors.Advisor-RenegatsKosoy-1].Name;Неизвестно
[Advisors.Advisor-RenegatsKruk-1].Name;Неизвестно
[Advisors.Advisor-ClearSky-1].Name;Неизвестно
[Advisors.Advisor-Zombie-1].Name;Неизвестно
[Advisors.Advisor-Mutants-KolRazum].Name;Коллективный разум
[Advisors.Advisor-Stalkers-Vasiliy].Name;Василий
[Advisors.Advisor-Stalkers-Goblin].Name;Гоблин
[Advisors.Advisor-Stalkers-Furgon].Name;Фургон
[Advisors.Advisor-Stalkers-Shilov].Name;Шилов
[Advisors.Advisor-Stalkers-Puzo].Name;Пузо
[Advisors.Advisor-Stalkers-Ezh].Name;Вовка Ёж
[Advisors.Advisor-StalkersWolf-Brodyaga].Name;Бродяга
[Advisors.Advisor-StalkersWolf-Dog].Name;Пёс
[Advisors.Advisor-StalkersDiggers-Garin].Name;Гарин
[Advisors.Advisor-StalkersDiggers-Avoska].Name;Авоська
[Advisors.Advisor-StalkersDiggers-Vasyan].Name;Васян
[Advisors.Advisor-StalkersOrest-Aidar].Name;Айдар
[Advisors.Advisor-StalkersOrest-Drozd].Name;Дрозд
[Advisors.Advisor-StalkersOrest-Otshelnik].Name;Отшельник
[Advisors.Advisor-StalkersMilitary-Doctor].Name;Доктор
[Advisors.Advisor-StalkersMilitary-Shtir].Name;Штырь
[Advisors.Advisor-Bandits-Chugun].Name;Чугун
[Advisors.Advisor-Bandits-Borov].Name;Боров
[Advisors.Advisor-Bandits-Zhivoder].Name;Живодёр
[Advisors.Advisor-Bandits-Zub].Name;Зуб
[Advisors.Advisor-Bandits-Prozrachniy].Name;Прозрачный
[Advisors.Advisor-Bandits-Senka].Name;Сенька
[Advisors.Advisor-Bandits-Father].Name;Отче
[Advisors.Advisor-SoldiersMilitary-Capitan].Name;Капитан
[Advisors.Advisor-Soldiers-Ovechko].Name;Семён Овечко
[Advisors.Advisor-SoldiersMilitary-Specialist].Name;Специалист
[Advisors.Advisor-Soldiers-Poproshayko].Name;Майор Попрошайко
[Advisors.Advisor-Soldiers-Sokolov].Name;Прапорщик Соколов
[Advisors.Advisor-Duty-Zvyagincev].Name;Майор Звягинцев
[Advisors.Advisor-Duty-Incvizitor].Name;Инквизитор
[Advisors.Advisor-Duty-Nalivayko].Name;Сержант Наливайко
[Advisors.Advisor-Duty-Fekl].Name;Фёкл
[Advisors.Advisor-Duty-Kolobok].Name;Колобок
[Advisors.Advisor-Duty-Sudar].Name;Сударь
[Advisors.Advisor-Duty-Semen].Name;Семён Семёныч
[Advisors.Advisor-Duty-Milutin].Name;Милютин
[Advisors.Advisor-Duty-Gromov].Name;Громов
[Advisors.Advisor-Duty-Mityay].Name;Митяй
[Advisors.Advisor-Duty-Lis].Name;Лис Бандикут
[Advisors.Advisor-Duty-Galin].Name;Галин
[Advisors.Advisor-Duty-Serega].Name;Серёга
[Advisors.Advisor-Freedom-Shukin].Name;Щукин
[Advisors.Advisor-Freedom-Voron].Name;Ворон
[Advisors.Advisor-Freedom-Ganzha].Name;Ганжа
[Advisors.Advisor-Freedom-Yar].Name;Дядька Яр
[Advisors.Advisor-Freedom-Kostuk].Name;Костюк
[Advisors.Advisor-Freedom-Ashot].Name;Ашот
[Advisors.Advisor-Freedom-Zhurnalist].Name;Журналист
[Advisors.Advisor-Monolith-Propovednik].Name;Проповедник
[Advisors.Advisor-Monolith-Molitvennik].Name;Молитвенник
[Advisors.Advisor-Monolith-Messiya].Name;Мессия
[Advisors.Advisor-Mercenaries-Hog].Name;Хог
[Advisors.Advisor-Mercenaries-Leshiy].Name;Леший
[Advisors.Advisor-Mercenaries-Shtyr].Name;Штырь
[Advisors.Advisor-Mercenaries-Tancpol].Name;Витя Танцпол
[Advisors.Advisor-Mercenaries-Avtobus].Name;Лёха Автобус
[Advisors.Advisor-Mercenaries-Rzhaviy].Name;Валера Ржавый
[Advisors.Advisor-Mercenaries-Shtirlic].Name;Толян Штирлиц
[Advisors.Advisor-Mercenaries-Dollar].Name;"Иван ""Один доллар"""
[Advisors.Advisor-Mercenaries-Plintus].Name;Тимур Плинтус
[Advisors.Advisor-Scientists-Nachalnik].Name;Начальник охраны
[Advisors.Advisor-Scientists-Levsha].Name;Левша
[Advisors.Advisor-Scientists-Platonov].Name;Платонов
[Advisors.Advisor-RenegatsKosoy-Batya].Name;Батя
[Advisors.Advisor-RenegatsKosoy-Krendel].Name;Крендель
[Advisors.Advisor-RenegatsKosoy-Grach].Name;Грач
[Advisors.Advisor-RenegatsKruk-Temniy].Name;Тёмный
[Advisors.Advisor-RenegatsKruk-Pirate].Name;Пират
[Advisors.Advisor-RenegatsKosoy-Sin].Name;Синь
[Advisors.Advisor-RenegatsKosoy-Kayzer].Name;Кайзер
[Advisors.Advisor-ClearSky-Kalancha].Name;Каланча
[Advisors.Advisor-ClearSky-Suslov].Name;Суслов
[Advisors.Advisor-ClearSky-Cold].Name;Холод
[Advisors.Advisor-ClearSky-Faster].Name;Шустрый
[Advisors.Advisor-ClearSky-Tropnik].Name;Иван Тропник
[Advisors.Advisor-ClearSky-Petro].Name;Петро
[Advisors.Advisor-ClearSky-Vasilenko].Name;Василенко
[Advisors.Advisor-ClearSky-Petrenko].Name;Петренко
[Advisors.Advisor-Zombie-Controler].Name;Контролер
[Achievements.Achiv-1].Name;Сможем и без Шрама!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить локацию Лиманск и удержать 1 ход за группировку Чистое небо.
[Achievements.Achiv-1].Desc-Logo;Захватить локацию Лиманск и удержать 1 ход за группировку Чистое небо.
[Achievements.Achiv-2].Name;Кто они такие?!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-2].Desc-Logo;Захватить всю Зону за группировку Наёмники.
[Achievements.Achiv-3].Name;Грубая сила!
[Achievements.Achiv-3].Desc;Получено новое достижение! Захватить локацию Лиманск и удержать 1 ход за группировку Военные.
[Achievements.Achiv-3].Desc-Logo;Захватить локацию Лиманск и удержать 1 ход за группировку Военные.
[Achievements.Achiv-4].Name;И Выброс не нужен!
[Achievements.Achiv-4].Desc;Получено новое достижение! Захватить всю Зону за группировку Монолит на уровне сложности Мастер.
[Achievements.Achiv-4].Desc-Logo;Захватить всю Зону за группировку Монолит на уровне сложности Мастер.
[Achievements.Achiv-5].Name;Законные деньги!
[Achievements.Achiv-5].Desc;Получено новое достижение! Принять идеологию Законность за группировку Наёмники на уровне сложности Мастер и продержаться 1 ход.
[Achievements.Achiv-5].Desc-Logo;Принять идеологию Законность за группировку Наёмники на уровне сложности Мастер и продержаться 1 ход.
[Achievements.Achiv-6].Name;Работа под прикрытием!
[Achievements.Achiv-6].Desc;Получено новое достижение! Принять идеологию Законность за группировку Долг на уровне сложности Мастер и продержаться 1 ход.
[Achievements.Achiv-6].Desc-Logo;Принять идеологию Законность за группировку Долг на уровне сложности Мастер и продержаться 1 ход.
[Traders.World].Name;Внешний мир
[Traders.World].NeedText;Связь с внешним миром не всегда удается установить. Цена попытки установить связь:
[Traders.YourGroup].Name;Торговец вашей группировки
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
[Traders.Trader1].Name;Сидорович
[Traders.Trader1].NeedText;Торговать с ним можно при условии контролирования территории Деревня новичков на Кордоне. Цена:
[Traders.Trader2].Name;Лесник
[Traders.Trader2].NeedText;Торговать с Лесником возможно только при условии контроля Лагерь у капера локации Рыжий лес. Цена:
[Traders.Trader3].Name;Сахаров
[Traders.Trader3].NeedText;Сахаров доступен при условии контроля территории Бункер ученых на локации Янтарь. Цена:
[StoryEvents.Event-Boost-1].Name;Выбранный режим игры
[StoryEvents.Event-Boost-1].Desc-Owner;Был выбран режим, в котором Монолит и Зомбированные получают помощь примерно на 75 ходе, если не смогут добиться ощутимых успехов.
[StoryEvents.Event-Boost-1].Desc-NonOwner;Был выбран режим, в котором Монолит и Зомбированные получают помощь примерно на 75 ходе, если не смогут добиться ощутимых успехов.
[StoryEvents.Event-Boost-2].Name;Технический ивент для Монолита!
[StoryEvents.Event-Boost-2].Desc-Owner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-2].Desc-NonOwner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-3].Name;Получена помощь 1/5!
[StoryEvents.Event-Boost-3].Desc-Owner;Получена помощь, так как группировка не смогла достичь успехов!
[StoryEvents.Event-Boost-3].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Boost-3
[StoryEvents.Event-Boost-4].Name;Зомбированные с Радара!
[StoryEvents.Event-Boost-4].Desc-Owner;На территорию %0:s на локации %1:s вторглись Зомбированные с Радара!
[StoryEvents.Event-Boost-4].Desc-NonOwner;Волна Зомбированных с Радара приближается к Барьеру!
[StoryEvents.Event-Boost-5].Name;Технический ивент для Монолита!
[StoryEvents.Event-Boost-5].Desc-Owner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-5].Desc-NonOwner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-6].Name;Получена помощь 2/5!
[StoryEvents.Event-Boost-6].Desc-Owner;Получена помощь, так как группировка не смогла достичь успехов!
[StoryEvents.Event-Boost-6].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Boost-3
[StoryEvents.Event-Boost-7].Name;Технический ивент для Монолита!
[StoryEvents.Event-Boost-7].Desc-Owner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-7].Desc-NonOwner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-8].Name;Получена помощь 3/5!
[StoryEvents.Event-Boost-8].Desc-Owner;Получена помощь, так как группировка не смогла достичь успехов!
[StoryEvents.Event-Boost-8].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Boost-3
[StoryEvents.Event-Boost-9].Name;Технический ивент для Монолита!
[StoryEvents.Event-Boost-9].Desc-Owner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-9].Desc-NonOwner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-10].Name;Получена помощь 4/5!
[StoryEvents.Event-Boost-10].Desc-Owner;Получена помощь, так как группировка не смогла достичь успехов!
[StoryEvents.Event-Boost-10].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Boost-3
[StoryEvents.Event-Boost-11].Name;Технический ивент для Монолита!
[StoryEvents.Event-Boost-11].Desc-Owner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-11].Desc-NonOwner;Если вы видите этот ивент, то это баг ивента!
[StoryEvents.Event-Boost-12].Name;Получена помощь 4/5!
[StoryEvents.Event-Boost-12].Desc-Owner;Получена помощь, так как группировка не смогла достичь успехов!
[StoryEvents.Event-Boost-12].Desc-NonOwner;Если вы это видите, то это баг ивента Event-Boost-3
ScenarioName;Период Полураспада. Чистое Небо
ScenarioDescription;Сценарий без сюжетного наполнения, где группировки поделены в соответствии с лидерами на местах, а не общей составляющей. Нет каких-либо ограничений по времени. Победа достигается в случае захвата всей Зоны, а поражение при потере последней территории. Сценарий не каноничный, поэтому дипломатия далека от канона.
ScenarioVictoryDescription;Условия победы: захватить все территории на карте и удержать их 1 ход.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории.
[Groups.bandits.:main].Spy1-Name;Новичок
[Groups.bandits.:main].Spy2-Name;Опытный
[Groups.bandits.:main].Spy3-Name;Ветеран
[Groups.bandits.:main].Spy4-Name;Мастер
[Groups.bandits.:main].Name;Бандиты
[Groups.bandits.:main].Description;Бандиты – криминальная сторона Зоны. Имеют под своим контролем значительные территории ближе к югу Зоны. Несмотря на неплохое расположение, обороняться будет не так просто, так как конфликтуют практически со всеми. Не имеют достойного вооружения и большого числа умеющих воевать в своих рядах. Группировке необходимо провести реорганизацию, как во внутренних делах, так и во внешних.
[Groups.bandits.:main].DiplomacyText-Question-War;Ну, че фраер, допрыгался? Расчихляй валыну! Братва к тебе уже катит!
[Groups.bandits.:main].DiplomacyText-Question-Neutral;Э-э-э! Братела, не суетись, а? Пора перестать шмалять друг-друга, лады?
[Groups.bandits.:main].DiplomacyText-Question-Alliance;Э, Братела, давай союзничками будем? А? Там... шмалять вместе гавриков... Всё такое.. М? Лады?
[Groups.bandits.:main].DiplomacyText-Question-BreakAlliance;Не, ну ты фраер, ну ты конкретный лох, теперь дальше каждый сам за себя!
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ask;Э, сышишь кореш, мелочи не подкинешь, а? Нам бы вот столько:
[Groups.bandits.:main].DiplomacyText-Ans-0-Down;Ты на кого батон крошишь? Бычара, ты труп, ты понял?!
[Groups.bandits.:main].DiplomacyText-Ans-1-Down;Ну ты это вообще не о чем, мля...
[Groups.bandits.:main].DiplomacyText-Ans-1-No;Найдем - на меха порежем!
[Groups.bandits.:main].DiplomacyText-Ans-1-Yes;Сышишь, мы тя не тронем, в натуре за базар отвечаю!
[Groups.bandits.:main].DiplomacyText-Ans-2-No;Не, не, это нифига не то, ты гонишь!
[Groups.bandits.:main].DiplomacyText-Ans-2-Yes;Держись, кореш, щас все будет пучком...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-No;Ты че головой ударился? Откуда у нас такое бабло! Нам самим не помешало бы...
[Groups.bandits.:main].DiplomacyText-RequestMoney-Ans-Yes;Братела, держи баблишко!
[Groups.bandits.:main].DiplomacyText-Question-Neutral-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.bandits.:main].DiplomacyText-Question-Neutral-Yes;А чо, братела, порадовал! Молодца...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.bandits.:main].DiplomacyText-Question-Alliance-Yes;О, братела, отлично! Теперь вместе фраеров шмалять будем!
[Groups.bandits.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.bandits.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
