[Form_Advisor].TitleText;Назначение нового заместителя командира отряда группировки
[Form_Advisor].Text1;Заместитель командира отряда
[Form_Advisor].BTN_Appoint;Назначить нового командира отряда заместителя группировки вместо старого. Бонусы от заместителя начинают действовать с момента назначения
[Form_Advisor].FHint1;Заместитель командира отряда группировки дает дополнительные бонусы и влияет на всю группировку
[Form_Advisor].LT_1;Назначен новый заместитель командира отряда группировки: %s
[Form_SearchArts].LHint_5;Сумма всех бонусов и штрафов от командира отряда группировки, заместителя, внутренних правил группировки, идеологии, построек, улучшений и местности.
[Common_Strings].StatsHint0;Командира отряда группировки: %s
[Other].Exeption_37;Неизвестный командир отряда: %s
[SpecialEvents.Burst].Name;Выброс!
[SpecialEvents.Burst].Desc-Yes;В Зоне произошел выброс. Мутанты стали более активными и похоже где-то могут начать буйствовать. Наши бойцы успешно пережили выброс, но даже в укрытиях им было тяжело, поэтому в расход пошло следующее число медикаментов
[SpecialEvents.Burst].Desc-No;В Зоне произошел выброс. Мутанты стали более активными и похоже где-то могут начать буйствовать. Некоторые бойцы не смогли пережить выброс, из-за нехватки медикаментов, которые они были вынуждены использовать даже в укрытиях
[Advisors.Advisor-Mutants-1].Name;Неизвестно
[Advisors.Advisor-Stalkers-1].Name;Неизвестно
[Advisors.Advisor-Bandits-1].Name;Неизвестно
[Advisors.Advisor-Duty-1].Name;Неизвестно
[Advisors.Advisor-Mutants-KolRazum].Name;Коллективный разум
[Advisors.Advisor-Stalkers-Wolf].Name;Волк
[Advisors.Advisor-Stalkers-Shustriy].Name;Шустрый
[Advisors.Advisor-Stalkers-Fanat].Name;Фанат
[Advisors.Advisor-Stalkers-Bes].Name;Бес
[Advisors.Advisor-Stalkers-Urik].Name;Юрик
[Advisors.Advisor-Stalkers-Seriy].Name;Серый
[Advisors.Advisor-Stalkers-Demon].Name;Олег «Демон» Гусаров
[Advisors.Advisor-Stalkers-Upir].Name;Упырь
[Advisors.Advisor-Stalkers-Arni].Name;Арни
[Advisors.Advisor-Stalkers-Krot].Name;Крот
[Advisors.Advisor-Stalkers-Lis].Name;Лис
[Advisors.Advisor-Stalkers-Diodor].Name;Отец Диодор
[Advisors.Advisor-Stalkers-Chuchelo].Name;Чучело
[Advisors.Advisor-Stalkers-Provodnik].Name;Проводник
[Advisors.Advisor-Stalkers-Doctor].Name;Доктор
[Advisors.Advisor-Bandits-Kaban].Name;Вася Кабан
[Advisors.Advisor-Bandits-Fraer].Name;Фраер
[Advisors.Advisor-Bandits-Kocherga].Name;Кочерга
[Advisors.Advisor-Bandits-Babtist].Name;Баптист
[Advisors.Advisor-Bandits-Chugun].Name;Чугун
[Advisors.Advisor-Duty-Petrenko].Name;Полковник Петренко
[Advisors.Advisor-Duty-Cherep].Name;Череп
[Advisors.Advisor-Duty-Ivancov].Name;Капитан Иванцов
[Advisors.Advisor-Duty-Plichko].Name;Сержант Пличко
[Advisors.Advisor-Duty-Kizenko].Name;Сержант Киценко
[Advisors.Advisor-Duty-Prapor].Name;Прапор
[Advisors.Advisor-Duty-Lohmatiy].Name;Сергей Лохматый
[Advisors.Advisor-Duty-Barin].Name;Барин
[Advisors.Advisor-Duty-Pulya].Name;Пуля
[Achievements.Achiv-1].Name;Гоп-стоп!
[Achievements.Achiv-1].Desc;Получено новое достижение! Захватить локацию за группировку Бандиты на уровне сложности Мастер и удерживать её в течении 1 хода.
[Achievements.Achiv-1].Desc-Logo;Захватить локацию за группировку Бандиты на уровне сложности Мастер и удерживать её в течении 1 хода.
[Achievements.Achiv-2].Name;Вынести мусор!
[Achievements.Achiv-2].Desc;Получено новое достижение! Захватить локацию за группировку Долг на уровне сложности Ветеран или выше и удерживать её в течении 1 хода.
