[Common_Strings].StoryEventsLevelText;События обучения:
[Advisors.Advisor-Mutants-1].Name;Неизвестно
[Advisors.Advisor-Stalkers-1].Name;Неизвестно
[Advisors.Advisor-Bandits-1].Name;Неизвестно
[Advisors.Advisor-Soldiers-1].Name;Неизвестно
[Advisors.Advisor-Zombie-1].Name;Неизвестно
[Advisors.Advisor-Mutants-KolRazum].Name;Коллективный разум
[Advisors.Advisor-Stalkers-Wolf].Name;Волк
[Advisors.Advisor-Stalkers-Shustriy].Name;Шустрый
[Advisors.Advisor-Stalkers-Fanat].Name;Фанат
[Advisors.Advisor-Stalkers-Bes].Name;Бес
[Advisors.Advisor-Stalkers-Urik].Name;Юрик
[Advisors.Advisor-Stalkers-Seriy].Name;Серый
[Advisors.Advisor-Stalkers-Demon].Name;Олег «Демон» Гусаров
[Advisors.Advisor-Stalkers-Upir].Name;Упырь
[Advisors.Advisor-Stalkers-Arni].Name;Арни
[Advisors.Advisor-Stalkers-Krot].Name;Крот
[Advisors.Advisor-Stalkers-Lis].Name;Лис
[Advisors.Advisor-Stalkers-Diodor].Name;Отец Диодор
[Advisors.Advisor-Stalkers-Chuchelo].Name;Чучело
[Advisors.Advisor-Stalkers-Provodnik].Name;Проводник
[Advisors.Advisor-Stalkers-Doctor].Name;Доктор
[Advisors.Advisor-Bandits-Kaban].Name;Вася Кабан
[Advisors.Advisor-Bandits-Fraer].Name;Фраер
[Advisors.Advisor-Bandits-Kocherga].Name;Кочерга
[Advisors.Advisor-Bandits-Babtist].Name;Баптист
[Advisors.Advisor-Bandits-Chugun].Name;Чугун
[Advisors.Advisor-Soldiers-Kuznecov].Name;Майор Кузнецов
[Advisors.Advisor-Soldiers-Capitan].Name;Капитан
[Advisors.Advisor-Soldiers-Chuguykin].Name;Лейтенант Чугуйкин
[Advisors.Advisor-Soldiers-Specialist].Name;Специалист
[Advisors.Advisor-Soldiers-Poproshayko].Name;Майор Попрошайко
[Advisors.Advisor-Zombie-Kontroler].Name;Контролер
[Achievements.Achiv-1].Name;Мастер обучения!
[Achievements.Achiv-1].Desc;Получено новое достижение! Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-1].Desc-Logo;Пройти сценарий на уровне сложности Мастер.
[Achievements.Achiv-2].Name;Новое направление!
[Achievements.Achiv-2].Desc;"Получено новое достижение! Сменить идеологию на ""Борьба с Зоной"" за группировку Сталкеры на любом уровне сложности."
[Achievements.Achiv-2].Desc-Logo;"Сменить идеологию на ""Борьба с Зоной"" за группировку Сталкеры на любом уровне сложности."
[Traders.World].Name;Внешний мир
[Traders.World].NeedText;Связь с внешним миром не всегда удается установить. Шанс 50%. Цена попытки установить связь:
[Traders.YourGroup].Name;Торговец вашей группировки
[Traders.YourGroup].NeedText;Вы всегда можете поторговать со своим торговцем. Цена:
[Traders.OtherGroup].Name;Торговец чужой группировки
[Traders.OtherGroup].NeedText;Чтобы торговать с чужими группировками сначала выберите на карте чужую территорию
[Traders.Trader1].Name;Сидорович
[Traders.Trader1].NeedText;Торговать с ним можно при условии контролирования территории Деревня на Кордоне. Цена:
[Tutorial.Page-1].Text;Приветствую тебя, сталкер! Это восьмая (она же финальная) часть обучения. В ней я познакомлю тебя с заместителями лидера группировки, идеологиями и внутренними правилами группировки. Для перехода на следующую страницу нажми на зелёные стрелки внизу (стрелки на клавиатуре тоже можешь использовать).
[Tutorial.Page-2].Text;"Замы, идеологии и правила тесно связаны друг с другом. Необязательно погружаться в эту тему, чтобы побеждать на лёгком уровне сложности в большинстве сценариев одиночной игры. Но при игре на мастере или в мультиплеере без этого всего не обойтись, потому что данная тема позволяет собрать кучу бонусов и к тому же использовать ""автоматический сбор артефактов"". А автосбор - штука очень удобная. Поставил галочку - и бойцы сами ищут арты и пополняют ими склад."
[Tutorial.Page-3].Text;"Предлагаю начать с заместителей лидера группировки. Ты - лидер, но тебе зачастую нужен помощник. Этот помощник может иметь и плюсы, и минусы. Выбирай его с умом. Посмотреть список всех доступных заместителей на текущий ход можно через кнопку ""Заместители"" в окне ""Дополнительная информация"", которое можно открыть с помощью кнопки ""Дополнительно"" в верхней части экрана (Метка №1)."
[Tutorial.Page-4].Text;Подробнее о замах. Они могут влиять на множество аспектов группировки. Например, помогать в разведке или контрразведке, снижении стоимости смены местонахождения главной базы группировки и так далее. Но среди различных бонусов есть такие параметры, которые связаны с идеологией. Один из них показывает, какой идеологией придерживается персонаж, а второй - это на сколько % в ход он будет её пытаться увеличить в группировке, если его назначить заместителем. Текущую идеологию твоей группировки можно посмотреть, если кликнуть на любую твою территорию на карте и в окне навести курсор на картинку правее логотипа твоей группировки (Метка №1). Там будет вся инфа по твоей идеологии: название, бонусы, её влияние на внутренние правила группировки.
[Tutorial.Page-5].Text;А ещё в том же окне при наведении на портрет лидера группировки (он под логотипом группировки) можно узнать, какую идеологию проповедует самый главный в группировке и какие бонусы он даёт своим руководством (Метка №1).
[Tutorial.Page-6].Text;"Идеология зама может отличаться от идеологии лидера. Тут надо смотреть, кто сильнее пропагандирует. Обычно это заместитель. В случае, если назначить такого зама, то через некоторое число ходов влияние его идеологии станет существенным, и могут начаться противоречия внутри группировки. Если быть точнее, то при падении текущей идеологии группировки ниже уровня 50%, бойцы начнут уходить из неё. Сначала будет уходить мало, а затем, когда % текущей идеологии станет ещё меньше, начнут уходить уже большими группами! Поэтому очень важно следить за % идеологий в соответствующем окне при назначении зама с идеологией отличной от текущей. Для этого в том же окне дополнительной информации достаточно нажать на кнопку ""Идеологии"" (Метка №1). Бывает и такое, что был назначен зам с такой идеологией, которой нет на данном окне. В этом нет ничего страшного. Если нажать на ""Конец хода"", то на следующий ход идеология заместителя появится окне идеологии. Это означает, что ранее не было людей, которые как-либо её придерживались."
[Tutorial.Page-7].Text;В окне с текущим % идеологий есть кнопка, которая позволит её сменить, но ценник в КР может отображаться весьма огромный. Есть два способа уменьшить ценник. Первый - это покупка улучшений (Метка №1), которые уменьшают цену в КР. Второй способ - это просто подождать ещё несколько ходов, в течении которых назначенный заместитель с нужной идеологией увеличит % людей, которые придерживаются его идеологии. Идеальный путь – это использовать оба способа одновременно.
[Tutorial.Page-8].Text;"Возможно, у тебя возник вопрос ""а зачем вообще менять идеологию?"". Отвечу на него... Смена идеологии - это не только другой логотип группировки, но и изменение ассортимента торговца группировки, влияние на концовку в большинстве сценариев и смена списка доступных правил управления группировки. Сначала такое может показаться несущественным, но на самом деле может иметь весомый вес в решающих моментах игры. Например, у группировки Военных таким образом можно включить правила автоматического поиска артефактов, которое существенно снижает траты в КР на поиск артефактов. Это крайне полезно, когда территорий много, а КР на поиски - мало."
[Tutorial.Page-9].Text;"А теперь расскажу о внутренних правилах группировки. Тем более я о них упоминал ранее не раз. Чтобы попасть в окно с правилами, достаточно нажать на кнопку ""Правила"" в окне дополнительной информации (Метка №1)."
[Tutorial.Page-10].Text;У каждой идеологии есть свой набор правил в первом ряду (строчке). Выбранное в нём правило влияет на то, какой столбик с другими правилами (под ним) будет доступен. Например, если выбрано третье правило в первом ряду, то весь третий столбик с правилами станет доступен для выбора. Ряды делят правила на темы. Первый - способ управления, второй - отношение к поиску артефактов, третий - разведка, четвертый - бой. Для того, чтобы включить правило разведывательной сети (3 ряд, 5 столбик), которое даёт большие бонусы разведки (но контрразведка будет хуже работать), придётся включить в первом ряду правило №5. А для того, чтобы включить простой автопоиск артефактов (2 ряд, 2 столбик), придётся переключиться в первом ряду на правило №2. При этом разведывательная сеть будет отмечена жёлтой галочкой. Это значит, что правило по-прежнему работает, но недоступно для повторного выбора, так как в первой строчке выбрано правило №2, а не №5. Так что после того, как выбрал всё, что нужно, в нижних строчках правил, можешь поменять значение в первой на то, которое хочется, и всё будет работать. Но, повторюсь, список доступных в первой строчке правил зависит от идеологии группировки. Кстати, никто не запрещает несколько раз сменить идеологию и правила, чтобы собрать все лучшие правила с их бонусами, а затем вернуться на первоначальную идеологию. Таким образом, можно будет собрать все самые лучшие бонусы!
[Tutorial.Page-11].Text;"В этом сценарии можешь попробовать сменить идеологию с текущей на ""Борьба с Зоной"". Для этого назначь себе заместителя, у которого есть эта идеология. Далее купи улучшения на удешевление стоимости смены идеологии и дождись методом пропуска хода подходящей стоимости для смены идеологии. А для успешного завершения обучения захвати все территории, которые принадлежат Бандитам и Военным на этой локации. Не бойся, так как это обучение, противник значительно ослаблен и не будет сильно сопротивляться, а ты сможешь освоиться со всем изученным материалом всех частей обучения! Как только захватишь нужное и зафиксируешь результат нажатием на ""Конец хода"", обучение завершится твоей победой."
[StoryEvents.Event-EveryStep-CheckVictory1].Name;Техническое событие
[StoryEvents.Event-EveryStep-CheckVictory1].Desc-Owner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory1].Desc-NonOwner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory2].Name;Техническое событие
[StoryEvents.Event-EveryStep-CheckVictory2].Desc-Owner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory2].Desc-NonOwner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory3].Name;Техническое событие
[StoryEvents.Event-EveryStep-CheckVictory3].Desc-Owner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory3].Desc-NonOwner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory4].Name;Техническое событие
[StoryEvents.Event-EveryStep-CheckVictory4].Desc-Owner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory4].Desc-NonOwner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory5].Name;Техническое событие
[StoryEvents.Event-EveryStep-CheckVictory5].Desc-Owner;Техническое событие на изменение победного ивентного флага
[StoryEvents.Event-EveryStep-CheckVictory5].Desc-NonOwner;Техническое событие на изменение победного ивентного флага
ScenarioName;Часть 8. Обучение
ScenarioDescription;Это обучающий сценарий, в котором вы научитесь назначать заместителей, менять правила в группировке и разберётесь с идеологией.
ScenarioVictoryDescription;Условия победы: выполнить задание из обучения до 6 хода.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории или провалить задание из обучения, или до 6 хода не выполнить задание.
[Groups.Bandits.:main].Spy1-Name;Новичок
[Groups.Bandits.:main].Spy2-Name;Опытный
[Groups.Bandits.:main].Spy3-Name;Ветеран
[Groups.Bandits.:main].Spy4-Name;Мастер
[Groups.Bandits.:main].Name;Бандиты
[Groups.Bandits.:main].Description;Бандиты – криминальная сторона Зоны. Имеют под своим контролем значительные территории ближе к югу Зоны. Несмотря на неплохое расположение, обороняться будет не так просто, так как конфликтуют практически со всеми. Не имеют достойного вооружения и большого числа умеющих воевать в своих рядах. Группировке необходимо провести реорганизацию, как во внутренних делах, так и во внешних.
[Groups.Bandits.:main].DiplomacyText-Question-War;Ну, че фраер, допрыгался? Расчихляй валыну! Братва к тебе уже катит!
[Groups.Bandits.:main].DiplomacyText-Question-Neutral;Э-э-э! Братела, не суетись, а? Пора перестать шмалять друг-друга, лады?
[Groups.Bandits.:main].DiplomacyText-Question-Alliance;Э, Братела, давай союзничками будем? А? Там... шмалять вместе гавриков... Всё такое.. М? Лады?
[Groups.Bandits.:main].DiplomacyText-Question-BreakAlliance;Не, ну ты фраер, ну ты конкретный лох, теперь дальше каждый сам за себя!
[Groups.Bandits.:main].DiplomacyText-RequestMoney-Ask;Э, сышишь кореш, мелочи не подкинешь, а? Нам бы вот столько:
[Groups.Bandits.:main].DiplomacyText-Ans-0-Down;Ты на кого батон крошишь? Бычара, ты труп, ты понял?!
[Groups.Bandits.:main].DiplomacyText-Ans-1-Down;Ну ты это вообще не о чем, мля...
[Groups.Bandits.:main].DiplomacyText-Ans-1-No;Найдем - на меха порежем!
[Groups.Bandits.:main].DiplomacyText-Ans-1-Yes;Сышишь, мы тя не тронем, в натуре за базар отвечаю!
[Groups.Bandits.:main].DiplomacyText-Ans-2-No;Не, не, это нифига не то, ты гонишь!
[Groups.Bandits.:main].DiplomacyText-Ans-2-Yes;Держись, кореш, щас все будет пучком...
[Groups.Bandits.:main].DiplomacyText-RequestMoney-Ans-No;Ты че головой ударился? Откуда у нас такое бабло! Нам самим не помешало бы...
[Groups.Bandits.:main].DiplomacyText-RequestMoney-Ans-Yes;Братела, держи баблишко!
[Groups.Bandits.:main].DiplomacyText-Question-Neutral-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.Bandits.:main].DiplomacyText-Question-Neutral-Yes;А чо, братела, порадовал! Молодца...
[Groups.Bandits.:main].DiplomacyText-Question-Alliance-No;Братела, ты, конечно, это зря! Не надо было так...
[Groups.Bandits.:main].DiplomacyText-Question-Alliance-Yes;О, братела, отлично! Теперь вместе фраеров шмалять будем!
[Groups.Bandits.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.Bandits.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.Bandits.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена, теперь Зону буду делить другие группировки. Поражение!
[Groups.Bandits.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Bandits.:main].Text-End-EventFlag-Lose;Время истекло, Вы не смогли добиться контроля над Зоной. Поражение!
[Groups.Bandits.Anarchy].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Да, криминал остался, но его стало меньше. Верхушка пыталась продвигать тему, которая была близка с тем, что пропагандировала группировка «Свобода», а низы, не торопились принимать эти новые идеалы, так как старые способы в виде грабежа и мародерства казались более простыми и понятными. Группировка раскалывалась прямо на глазах. Каждый новый день – новое не подчинение приказов отдельными группами. Вот-вот начнётся новый конфликт в Зоне…
[Groups.Bandits.AntiZone].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Верхушка продвигала всё больше и больше тему борьбы с Зоной. Да, многие понимали, что грабить теперь некого, кругом все свои и в принципе, были согласны, но поскольку в группировке были и настоящие уголовники, то образовались отдельные группы, которые грабили тех самых «своих». Кругом вспыхивали локальные бои. Зона снова оказалась в шаге от масштабной войны всех против всех…
[Groups.Bandits.Control].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала стало значительно меньше. Вводилась жесткая иерархия. Ситуацию наиболее точно описывало название «Штрафбат». Среди участников группировки ходили слухи, что верхушка прогнулась под государственные силы. Многие приняли этот факт, но нашлись и те «паханы» с «буграми», которые с таким порядком не были согласны. Назревал новый масштабный конфликт, но уже внутри группировки...
[Groups.Bandits.Crime].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.Bandits.Crime].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.Bandits.Crime].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.Bandits.Exploring].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде… Верхушка уже активно переключается на выгодные контракты, идущие от правительства. В Зоне теперь часто можно встретить группы Ученых делающих свои замеры анимальной активности под чуткой охраной местных «братков». Вчерашние бандиты уже ходили и занимались тем, делом, что когда-то считали слишком грязным для себя – искали артефакты, добывали части тел мутантов, делали какие-то не понятные замеры не менее не понятными приборами. Не всем это нравилось, поэтому находились отдельные группы людей, которые организовывали нападение на «своих». С ними старались активно бороться, но таких «несогласных», находилось всё больше и больше, так как далеко немногие нашли себя в новой реальности работы по изучению Зоны…
[Groups.Bandits.Growth].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.Bandits.Growth].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
[Groups.Bandits.Growth].Text-End-Step-Lose;"Время истекло. Пацаны говорят, что ""бугор"" из тебя никакой... Поражение!"
[Groups.Bandits.Mercenary].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде… Верхушка уже активно переключается на выгодные контракты, идущие с внешнего мира. Но акцент ставился на более криминальные контракты, поэтому Ученых в Зоне, которых охраняли местные бойцы, было практически не встретить, что значительно ограничило изучение Зоны. Правительство планировало предпринять несколько боевых операций, чтобы вернуть контроль над ключевыми объектами Зоны. Скоро снова будет «Война в Зоне»…
[Groups.Bandits.Sectarianism].Text-End-Standart-Victory;Победа! Но не смотря на то, что группировка заняла все территории, так такого контроля над силами не было. Кругом царила неразбериха. Странные речи верхушки, странное поведения всех кто находился на севере Зоны, вновь вскоре включенные пси установки… Все это обеспокоило тех, кто находился на юге. Юг стал вооружаться и формировать собственную иерархию с командирами. Вот-вот начнётся новый этап «Войны в Зоне»…
[Groups.Bandits.Stability].Text-End-Standart-Victory;Победа! Группировка контролирует всю территорию. Грабить больше некого. Мародерствовать тоже вскоре будет негде… Верхушка активно пытается найти новые способы обогащения. Бойцов начали разделять на подгруппы. Кого-то в поиски артефактов, кого-то на охоту за частями тел мутантов, третьих использовали как наёмников для выполнения внешних заказов. Но нашлись и те, кому не подходило что-либо из «мирного» ремесла. Вскоре начались первые конфликты и последовавшие за ними бои. Внутреннюю иерархию группировки штормило и неизвестно чем всё закончится…
[Groups.Bandits.Stalkers].Text-End-Standart-Victory;Победа! Группировка вскоре всё меньше и меньше по своему поведению походила на то, чем являлась изначально. Криминала действительно стало меньше. Платишь долю – можешь ходить и добывать артефакты. Никто мешать не должен. А если кто-то и будет, то тех ребят найдут. Быстро найдут. Но если у них найдутся покровители в верхах, то отпустят словесно попугав. Поэтому в скорее внутри группировки образовались отдельные группы со своими лидерами, которые тянули группировку к вооруженному внутреннему конфликту…
[Groups.Bandits.Unknow].Text-End-Standart-Victory;"Победа! Зона превратилась в криминальное квазигосударство. Зона стала жить ""по понятиям"". Вскоре грабить стало некого и группировка погрязла в распрях. Вместо того чтобы отстреливать монстров и добывать артефакты Бандиты стреляли друг в друга..."
[Groups.Bandits.Unknow].Text-End-Standart-Lose;Последний бандит поймал маслину. В Зоне больше нет места криминальному миру... Поражение!
