[Form_MainMenu].Update.NewVersion.Text;The new version of the game is out. You can download it from the game's launcher!
[Form_MainMenu].Version.Part.Text;Version
[Form_Campanings].TitleText;Choose a campaign
[Form_Campanings].Tutorial.Text;Please play the tutorial first! || The game has a fairly high entry barrier, so the tutorial will help you get up to speed faster! You don't have to complete the entire tutorial. Completing any one scenario is enough.
[Form_OtherProjects].TitleText;Our other projects
[Form_OtherProjects].GMBText;G.M.B. MOD is a global modification for Stronghold Crusader. Its goal is to improve the game in every possible way, without affecting the original concept that has made it beloved by players worldwide!
[Form_Options].TitleText;Options
[Form_Options].Text.TabVideo;Image
[Form_Options].Text.TabSound;Sound
[Form_Options].Text.TabInterface;Interface
[Form_Options].Text.TabOther;Other
[Form_Options].Text.Current;Current:
[Form_Options].Text.On;Turn on
[Form_Options].Text.Off;Turn off
[Form_Options].Text.Fast;Fast
[Form_Options].Text.WindowWithBorder;Window with borders
[Form_Options].Text.WindowWithoutBorder;Window without borders
[Form_Options].Text.Auto;Auto
[Form_Options].Text.Log1;Only important
[Form_Options].Text.Log2;Standart
[Form_Options].Text.Log3;Extended
[Form_Options].Text.Log4;Similar
[Form_Options].Text.Part;Everything except riots
[Form_Options].Text.All;Everything
[Form_Options].Text.No;No
[Form_OptionsInterface].Text1;Detailed output to the game log:
[Form_OptionsInterface].Text2;Displaying battle reports after the turn has started:
[Form_OptionsInterface].Text3;Show game log at the end of a turn:
[Form_OptionsInterface].Text4;Interface scaling:
[Form_OptionsInterface].Text5;Automatic change of main menu background:
[Form_OptionsInterface].Text.NeedRestart;A game restart is required to activate scaling!
[Form_OptionsOther].Text1;Game nickname:
[Form_OptionsOther].Text2;Timer for limiting the frequency of sending messages to the game chat
[Form_OptionsSound].Text1;Overall sound volume:
[Form_OptionsSound].Text2;Background sounds:
[Form_OptionsSound].Text3;Music:
[Form_OptionsSound].Text4;Event sounds:
[Form_OptionsSound].Text5;Interface sounds:
[Form_OptionsSound].Text6;Speech:
[Form_OptionsVideo].Text1;Screen resolution:
[Form_OptionsVideo].Text2;Use new font:
