[Form_MainMenu].Update.NewVersion.Text;Вышла новая версия игры. Скачать ее можно через лаунчер игры!
[Form_MainMenu].Version.Part.Text;Версия
[Form_Campanings].TitleText;Выберите кампанию
[Form_Campanings].Tutorial.Text;Сначала ознакомьтесь с обучением! || У игры не самый низкий порог входа, поэтому обучение поможет быстрее освоиться! Всё обучение проходить необязательно. Достаточно пройти 1 любой сценарий.
[Form_OtherProjects].TitleText;Другие наши проекты
[Form_OtherProjects].GMBText;G.M.B. MOD - глобальная модификация для игры Stronghold Crusader. Цель мода - улучшить игру по всем возможным параметрам, но не трогать оригинальную концепцию игры, за которую ее и полюбили игроки по всему миру!
[Form_Options].TitleText;Опции
[Form_Options].Text.TabVideo;Изображение
[Form_Options].Text.TabSound;Звук
[Form_Options].Text.TabInterface;Интерфейс
[Form_Options].Text.TabOther;Другое
[Form_Options].Text.Current;Текущее:
[Form_Options].Text.On;Включить
[Form_Options].Text.Off;Выключить
[Form_Options].Text.Fast;Быстро
[Form_Options].Text.WindowWithBorder;Окно с рамкой
[Form_Options].Text.WindowWithoutBorder;Окно без рамки
[Form_Options].Text.Auto;Авто
[Form_Options].Text.Log1;Только важное
[Form_Options].Text.Log2;Стандартный
[Form_Options].Text.Log3;Расширенный
[Form_Options].Text.Log4;Подробный
[Form_Options].Text.Part;Все, кроме буйств
[Form_Options].Text.All;Все
[Form_Options].Text.No;Нет
[Form_OptionsInterface].Text1;Подробный вывод в игровой лог:
[Form_OptionsInterface].Text2;Отображение отчетов о обоях поле начала хода:
[Form_OptionsInterface].Text3;Показ игрового лога в конце хода:
[Form_OptionsInterface].Text4;Масштабирование интерфейса:
[Form_OptionsInterface].Text5;Авто смена фона главного меню:
[Form_OptionsInterface].Text.NeedRestart;Для активации масштабирования требуется перезапуск игры!
[Form_OptionsOther].Text1;Игровой никнейм:
[Form_OptionsOther].Text2;Таймер ограничения частоты отправки сообщений в игровой чат
[Form_OptionsSound].Text1;Общая громкость звука:
[Form_OptionsSound].Text2;Фоновые звуки:
[Form_OptionsSound].Text3;Музыка:
[Form_OptionsSound].Text4;Звуки событий:
[Form_OptionsSound].Text5;Звуки интерфейса:
[Form_OptionsSound].Text6;Речь:
[Form_OptionsVideo].Text1;Разрешение экрана:
[Form_OptionsVideo].Text2;Использовать новый шрифт:
[Form_OptionsVideo].Text3;Показ границ соседних территорий:
[Form_OptionsVideo].Text4;Фокус камеры на источник события:
[Form_OptionsVideo].Text5;Возврат камеры после события:
[Form_OptionsVideo].Text6;Фокус камеры при клике в логе:
[Form_OptionsVideo].Text7;Скорость анимации событий:
