[Territories.Name].Zona1;Workshops
[Territories.Name].Zona2;Institute Utility Buildings
[Territories.Name].Zona3;"Radiowave Institute"
[Territories.Name].Zona4;Northwestern Outskirts
[Territories.Name].Zona5;Northeastern Outskirts
[Territories.Name].Zona6;Ruined Houses
[Territories.Name].Zona7;Construction Site
[Territories.Name].Zona8;Radar Station
[Territories.Name].Zona9;West Bridge
[Territories.Name].Zona10;Houses on the Hill
[Territories.Name].Zona11;Bus Station
[Territories.Name].Zona12;Anomalous Peak
[Territories.Name].Zona13;East Tunnel
[Territories.Name].Zona14;Western Residential Sector
[Territories.Name].Zona15;Anomalous House
[Territories.Name].Zona16;Garages
[Territories.Name].Zona17;Ruined Bridge
[Territories.Name].Zona18;Breach by the House
[Territories.Name].Zona19;Central Bridge
[Territories.Name].Zona20;Western Complex
[Territories.Name].Zona21;Alley
[Territories.Name].Zona22;Eastern Outskirts
[Territories.Name].Zona23;Phantom Paths
[Territories.Name].Zona24;Spatial Labyrinth
[Territories.Name].Zona25;Square
[Territories.Name].Zona26;Flickering Houses
[Territories.Name].Zona27;Crossroads
[Territories.Name].Zona28;Central Residential Sector
[Territories.Name].Zona29;Western Residential District
[Territories.Name].Zona30;Houses at the Fork
[Territories.Name].Zona31;Park
[Territories.Name].Zona32;Eastern Residential Sector
[Territories.Name].Zona33;Houses by the Tunnel
[Territories.Name].Zona34;Green Courtyard
[Territories.Name].Zona35;Fire Station
[Territories.Name].Zona36;Southern Residential Sector
[Territories.Name].Zona37;Eastern Residential District
[Territories.Name].Zona38;Misty Houses
[Territories.Name].Zona39;Controllers' Suburb
[Territories.Name].Zona40;Kindergarten
[Territories.Name].Zona41;School
[Territories.Name].Zona42;Far Bridge
[Territories.Name].Zona43;Peninsula
[Territories.Name].Zona44;Peninsula
