[Territories.Name].Zona1;Road to Radar
[Territories.Name].Zona2;Crashed Helicopter
[Territories.Name].Zona3;Remote Farmstead
[Territories.Name].Zona4;Road to Checkpoint
[Territories.Name].Zona5;The Barrier
[Territories.Name].Zona6;Remote Checkpoint
[Territories.Name].Zona7;Remote Camp
[Territories.Name].Zona8;Approaches to Helicopter
[Territories.Name].Zona9;Village East
[Territories.Name].Zona10;Camp by the Barrier
[Territories.Name].Zona11;Turn to the Barrier
[Territories.Name].Zona12;Village West
[Territories.Name].Zona13;Crooked Ravine
[Territories.Name].Zona14;The Swamp
[Territories.Name].Zona15;Crossroads
[Territories.Name].Zona16;Exit to Village
[Territories.Name].Zona17;Camp on the Hill
[Territories.Name].Zona18;Exit to Farmstead
[Territories.Name].Zona19;Checkpoint
[Territories.Name].Zona20;South Checkpoint
[Territories.Name].Zona21;Railway
[Territories.Name].Zona22;Southern Farmstead
[Territories.Name].Zona24;Small Ravine
[Territories.Name].Zona25;Administration Building
[Territories.Name].Zona26;Hangars
[Territories.Name].Zona23;Depot
