[Territories.Name].Zona1;Дорога на Радар
[Territories.Name].Zona2;Упавший вертолёт
[Territories.Name].Zona3;Дальний хутор
[Territories.Name].Zona4;Дорога к блокпосту
[Territories.Name].Zona5;Барьер
[Territories.Name].Zona6;Дальний блокпост
[Territories.Name].Zona7;Дальний лагерь
[Territories.Name].Zona8;Подходы к вертолёту
[Territories.Name].Zona9;Восток деревни
[Territories.Name].Zona10;Лагерь у Барьера
[Territories.Name].Zona11;Поворот на Барьер
[Territories.Name].Zona12;Запад деревни
[Territories.Name].Zona13;Кривая балка
[Territories.Name].Zona14;Болото
[Territories.Name].Zona15;Перекрёсток
[Territories.Name].Zona16;Съезд к деревне
[Territories.Name].Zona17;Лагерь на холме
[Territories.Name].Zona18;Съезд к хутору
[Territories.Name].Zona19;Блокпост
[Territories.Name].Zona20;Южный блокпост
[Territories.Name].Zona21;Железная дорога
[Territories.Name].Zona22;Южный хутор
[Territories.Name].Zona24;Малая лощина
[Territories.Name].Zona25;Администрация
[Territories.Name].Zona26;Ангары
[Territories.Name].Zona23;Депо
