[Territories.Name].Zona1;Station Backyards
[Territories.Name].Zona2;Service Buildings
[Territories.Name].Zona3;Generators
[Territories.Name].Zona5;Substations
[Territories.Name].Zona6;Western Building
[Territories.Name].Zona7;Northern Approaches
[Territories.Name].Zona8;Eastern Buildings
[Territories.Name].Zona9;Western Camp
[Territories.Name].Zona10;Rooftops
[Territories.Name].Zona11;Northern Entrance
[Territories.Name].Zona12;Northern Section
[Territories.Name].Zona13;Central Section
[Territories.Name].Zona14;Southern Section
[Territories.Name].Zona15;Workshops
[Territories.Name].Zona16;Institute Utility Buildings
[Territories.Name].Zona17;Radiowave Institute
[Territories.Name].Zona18;Northwestern Outskirts
[Territories.Name].Zona19;Northeastern Outskirts
[Territories.Name].Zona20;Ruined Houses
[Territories.Name].Zona21;Construction Site
[Territories.Name].Zona22;Radar Station
[Territories.Name].Zona23;West Bridge
[Territories.Name].Zona24;Houses on the Hill
[Territories.Name].Zona25;Bus Station
[Territories.Name].Zona26;Anomalous Peak
[Territories.Name].Zona27;East Tunnel
[Territories.Name].Zona28;Western Residential Sector
[Territories.Name].Zona29;Anomalous House
[Territories.Name].Zona30;Garages
[Territories.Name].Zona31;Ruined Bridge
[Territories.Name].Zona32;Breach by the House
[Territories.Name].Zona33;Central Bridge
[Territories.Name].Zona34;Western Complex
[Territories.Name].Zona36;Eastern Outskirts
[Territories.Name].Zona37;Phantom Paths
[Territories.Name].Zona38;Spatial Labyrinth
[Territories.Name].Zona39;Square
[Territories.Name].Zona40;Flickering Houses
[Territories.Name].Zona41;Crossroads
[Territories.Name].Zona42;Northern Exit
[Territories.Name].Zona43;Central Residential Sector
[Territories.Name].Zona44;Western Residential District
[Territories.Name].Zona45;Houses at the Fork
[Territories.Name].Zona46;Dark Ravine
[Territories.Name].Zona47;Park
[Territories.Name].Zona48;Eastern Residential Sector
[Territories.Name].Zona49;Camp by the Kaper
[Territories.Name].Zona50;Houses by the Tunnel
[Territories.Name].Zona51;Green Courtyard
[Territories.Name].Zona52;Fire Station
[Territories.Name].Zona53;Shafts
[Territories.Name].Zona54;Southern Residential Sector
[Territories.Name].Zona55;Western Outskirts
[Territories.Name].Zona56;Treacherous Mire
[Territories.Name].Zona57;Witches' Circle
[Territories.Name].Zona58;Eastern Residential District
[Territories.Name].Zona59;Misty Houses
[Territories.Name].Zona60;Controllers' Suburb
[Territories.Name].Zona61;Parking by the Rocks
[Territories.Name].Zona62;Southern Shafts
[Territories.Name].Zona63;Kindergarten
[Territories.Name].Zona64;Camp by the Exit
[Territories.Name].Zona65;Anomalous Paths
[Territories.Name].Zona66;Tunnel
[Territories.Name].Zona67;School
[Territories.Name].Zona68;Old Trail
[Territories.Name].Zona69;Far Bridge
[Territories.Name].Zona70;Checkpoint by the Bridge
[Territories.Name].Zona71;Thicket
[Territories.Name].Zona72;Corpse Clearing
[Territories.Name].Zona73;Tunnel to Limansk
[Territories.Name].Zona74;Devil's Parking
[Territories.Name].Zona75;Peninsula
[Territories.Name].Zona76;Southern Forest Entrance
