[Territories.Name].Zona1;North Lake
[Territories.Name].Zona2;Northern Plateau
[Territories.Name].Zona3;Northern Road
[Territories.Name].Zona4;Boiler Anomaly
[Territories.Name].Zona5;Burned Farmstead
[Territories.Name].Zona6;Sawmill
[Territories.Name].Zona7;North Swamp
[Territories.Name].Zona8;Northwestern Outskirts
[Territories.Name].Zona9;North Bridge
[Territories.Name].Zona10;South Lake
[Territories.Name].Zona11;Dredger
[Territories.Name].Zona12;Northeastern Outskirts
[Territories.Name].Zona13;Caves
[Territories.Name].Zona14;Swamp Center
[Territories.Name].Zona15;Stalker Skadovsk
[Territories.Name].Zona16;Sawmill Road
[Territories.Name].Zona17;The Quagmire
[Territories.Name].Zona18;Bandit Skadovsk
[Territories.Name].Zona19;Camp by the Hill
[Territories.Name].Zona20;Western Outskirts
[Territories.Name].Zona21;Emerald Settlement
[Territories.Name].Zona22;Crossroads near SAM Site
[Territories.Name].Zona23;Port Cranes
[Territories.Name].Zona24;Forestry Station
[Territories.Name].Zona25;Shevchenko
[Territories.Name].Zona26;West Bridge
[Territories.Name].Zona27;South Swamp
[Territories.Name].Zona28;Krug SAM Site
[Territories.Name].Zona29;Approaches to Forestry
[Territories.Name].Zona30;Gas Station
[Territories.Name].Zona31;Pine-Oak Anomaly
[Territories.Name].Zona32;Old Barge
[Territories.Name].Zona33;Scar Anomaly
[Territories.Name].Zona34;Preobrazhensky Bridge
[Territories.Name].Zona35;Approaches to Station
[Territories.Name].Zona36;Road to Workshop
[Territories.Name].Zona37;Testing Workshop Yard
[Territories.Name].Zona38;Testing Workshop
[Territories.Name].Zona39;Testing Workshop Laboratories
[Territories.Name].Zona40;Circus Anomaly
[Territories.Name].Zona41;Waste Processing Station
[Territories.Name].Zona42;Substation Workshops
[Territories.Name].Zona43;Fork near Station
[Territories.Name].Zona44;Southern Road
[Territories.Name].Zona45;Southern Plateau
[Territories.Name].Zona46;Ruined Bridge
[Territories.Name].Zona47;Northern Outskirts
[Territories.Name].Zona48;Floodplains
[Territories.Name].Zona49;Ashes Anomaly
[Territories.Name].Zona50;Prometheus Cinema
[Territories.Name].Zona51;West Tunnel
[Territories.Name].Zona52;Cooling Towers
[Territories.Name].Zona53;Cement Plant
[Territories.Name].Zona54;Railway Halt
[Territories.Name].Zona55;Northern Railway
[Territories.Name].Zona56;Old Waste Facility
[Territories.Name].Zona57;High-rise Building
[Territories.Name].Zona58;River Port
[Territories.Name].Zona59;Northwestern Courtyards
[Territories.Name].Zona60;Vine Anomaly
[Territories.Name].Zona61;Kopachi
[Territories.Name].Zona62;Warehouse of Duty
[Territories.Name].Zona63;Yanov part of Freedom
[Territories.Name].Zona64;Railway
[Territories.Name].Zona65;The Swamp
[Territories.Name].Zona66;Northeastern Quarry Descent
[Territories.Name].Zona67;School No.1
[Territories.Name].Zona68;Eastern Road
[Territories.Name].Zona69;Western Courtyards
[Territories.Name].Zona70;Hospital
[Territories.Name].Zona71;Stalker Yanov
[Territories.Name].Zona72;Quarry
[Territories.Name].Zona73;Yubileyny Waste Facility
[Territories.Name].Zona74;Yanov part of Duty
[Territories.Name].Zona75;Anomalous Grove
[Territories.Name].Zona76;Laboratory X-8
[Territories.Name].Zona77;Central Courtyards
[Territories.Name].Zona78;Volhov SAM System
[Territories.Name].Zona79;Scientists' Bunker
[Territories.Name].Zona80;Southern Approaches to Yanov
[Territories.Name].Zona81;Tar Anomaly
[Territories.Name].Zona82;Volcano Anomaly
[Territories.Name].Zona83;Kindergarten
[Territories.Name].Zona84;Wanderer's Camp
[Territories.Name].Zona85;Railway Overpass
[Territories.Name].Zona86;East Tunnel
[Territories.Name].Zona87;Dormitory Building
[Territories.Name].Zona88;Mutant Clearing
[Territories.Name].Zona89;Eastern Building
[Territories.Name].Zona90;Parking Lot
[Territories.Name].Zona91;Grocery Store
[Territories.Name].Zona92;Checkpoint
[Territories.Name].Zona93;Laundry
[Territories.Name].Zona94;Dormitory No.2
[Territories.Name].Zona95;Department Store
[Territories.Name].Zona96;Approaches to Plant
[Territories.Name].Zona97;West Bridge
[Territories.Name].Zona98;Southeastern Courtyards
[Territories.Name].Zona99;Concrete Bathtub Anomaly
[Territories.Name].Zona100;Plant Main Gate
[Territories.Name].Zona101;Approaches to South Tunnel
[Territories.Name].Zona102;Islands
[Territories.Name].Zona103;Southern Courtyard
[Territories.Name].Zona104;Ventilation Complex
[Territories.Name].Zona105;Complex Shafts
[Territories.Name].Zona106;Book Store
[Territories.Name].Zona107;Container Warehouse
[Territories.Name].Zona108;Central Plant Area
[Territories.Name].Zona109;East Plant
[Territories.Name].Zona110;Bandit Camp
[Territories.Name].Zona111;Southern Outskirts
[Territories.Name].Zona112;Helipads
[Territories.Name].Zona113;Southwestern Outskirts
[Territories.Name].Zona114;Plant Southwest
[Territories.Name].Zona115;Plant South
[Territories.Name].Zona116;Plant Southeast
[Territories.Name].Zona117;Sector-A
[Territories.Name].Zona118;Sector-B
[Territories.Name].Zona119;Sector-C
