[Territories.Name].Zona1;Север озера
[Territories.Name].Zona2;Северное плато
[Territories.Name].Zona3;Дорога на север
[Territories.Name].Zona4;Аномалия Котёл
[Territories.Name].Zona5;Сгоревший хутор
[Territories.Name].Zona6;Лесопилка
[Territories.Name].Zona7;Север болота
[Territories.Name].Zona8;Северо-западная окраина
[Territories.Name].Zona9;Северный мост
[Territories.Name].Zona10;Юг озера
[Territories.Name].Zona11;Земснаряд
[Territories.Name].Zona12;Северо-восточная окраина
[Territories.Name].Zona13;Пещеры
[Territories.Name].Zona14;Центр болота
[Territories.Name].Zona15;Сталкерский Скадовск
[Territories.Name].Zona16;Дорога на лесопилку
[Territories.Name].Zona17;Топь
[Territories.Name].Zona18;Бандитский Скадовск
[Territories.Name].Zona19;Привал у пригорка
[Territories.Name].Zona20;Западная окраина
[Territories.Name].Zona21;Изумрудное
[Territories.Name].Zona22;Перекрёсток возле ВНЗ
[Territories.Name].Zona23;Портовые краны
[Territories.Name].Zona24;Лесничество
[Territories.Name].Zona25;Шевченко
[Territories.Name].Zona26;Западный мост
[Territories.Name].Zona27;Юг болота
[Territories.Name].Zona28;ВНЗ Круг
[Territories.Name].Zona29;Подходы к лесничеству
[Territories.Name].Zona30;Заправка
[Territories.Name].Zona31;Аномалия Соснодуб
[Territories.Name].Zona32;Старая баржа
[Territories.Name].Zona33;Аномалия Рубец
[Territories.Name].Zona34;Мост им. Преображенского
[Territories.Name].Zona35;Подходы к станции
[Territories.Name].Zona36;Дорога к цеху
[Territories.Name].Zona37;Двор испытательного цеха
[Territories.Name].Zona38;Испытательных цех
[Territories.Name].Zona39;Лаборатории испытательного цеха
[Territories.Name].Zona40;Аномалия Цирк
[Territories.Name].Zona41;Станция переработки отходов
[Territories.Name].Zona42;Цеха подстанции
[Territories.Name].Zona43;Развилка у станции
[Territories.Name].Zona44;Дорога на юг
[Territories.Name].Zona45;Южное плато
[Territories.Name].Zona46;Разрушенный мост
[Territories.Name].Zona47;Северная окраина
[Territories.Name].Zona48;Плавни
[Territories.Name].Zona49;Аномалия Пепелище
[Territories.Name].Zona50;Кинотеатр Прометей
[Territories.Name].Zona51;Западный тоннель
[Territories.Name].Zona52;Градирни
[Territories.Name].Zona53;Цементный завод
[Territories.Name].Zona54;Полустанок
[Territories.Name].Zona55;Железная дорога на севере
[Territories.Name].Zona56;Старый КБО
[Territories.Name].Zona57;Многоэтажка
[Territories.Name].Zona58;Речной порт
[Territories.Name].Zona59;Северо-западные дворы
[Territories.Name].Zona60;Аномалия Лоза
[Territories.Name].Zona61;Копачи
[Territories.Name].Zona62;Долговский склад
[Territories.Name].Zona63;Свободовский Янов
[Territories.Name].Zona64;Железная дорога
[Territories.Name].Zona65;Болото
[Territories.Name].Zona66;Северо-восточный спуск в Карьер
[Territories.Name].Zona67;Школа №1
[Territories.Name].Zona68;Восточная дорога
[Territories.Name].Zona69;Западные дворы
[Territories.Name].Zona70;Госпиталь
[Territories.Name].Zona71;Сталкерский Янов
[Territories.Name].Zona72;Карьер
[Territories.Name].Zona73;КБО Юбилейный
[Territories.Name].Zona74;Долговский Янов
[Territories.Name].Zona75;Аномальная роща
[Territories.Name].Zona76;Лаборатория Х-8
[Territories.Name].Zona77;Центральные дворы
[Territories.Name].Zona78;ЗРК Волхов
[Territories.Name].Zona79;Бункер ученых
[Territories.Name].Zona80;Южные подходы к Янову
[Territories.Name].Zona81;Аномалия Битум
[Territories.Name].Zona82;Аномалия Вулкан
[Territories.Name].Zona83;Детский сад
[Territories.Name].Zona84;Лагерь Бродяги
[Territories.Name].Zona85;Мост над железной дорогой
[Territories.Name].Zona86;Восточный тоннель
[Territories.Name].Zona87;Корпус общежития
[Territories.Name].Zona88;Поляна мутантов
[Territories.Name].Zona89;Восточная постройка
[Territories.Name].Zona90;Стоянка
[Territories.Name].Zona91;Гастроном
[Territories.Name].Zona92;КПП
[Territories.Name].Zona93;Прачечная
[Territories.Name].Zona94;Общежитие №2
[Territories.Name].Zona95;Универмаг
[Territories.Name].Zona96;Подходы к заводу
[Territories.Name].Zona97;Западный мост
[Territories.Name].Zona98;Юго-восточные дворы
[Territories.Name].Zona99;Аномалия Бетонная ванна
[Territories.Name].Zona100;Проходная завода
[Territories.Name].Zona101;Подходы к Южному тоннелю
[Territories.Name].Zona102;Острова
[Territories.Name].Zona103;Южный двор
[Territories.Name].Zona104;Вентиляционный комплекс
[Territories.Name].Zona105;Шахты комплекса
[Territories.Name].Zona106;Магазин Книги
[Territories.Name].Zona107;Склад контейнеров
[Territories.Name].Zona108;Центральная часть завода
[Territories.Name].Zona109;Восток завода
[Territories.Name].Zona110;Бандитский привал
[Territories.Name].Zona111;Южная окраина
[Territories.Name].Zona112;Вертолётные площадки
[Territories.Name].Zona113;Юго-западная окраина
[Territories.Name].Zona114;Юго-запад завода
[Territories.Name].Zona115;Юг завода
[Territories.Name].Zona116;Юго-восток завода
[Territories.Name].Zona117;Сектор-A
[Territories.Name].Zona118;Сектор-B
[Territories.Name].Zona119;Сектор-C
[Locations.LabX8].Name;Лаборатория X-8
[Locations.PripyatEast].Name;Восточная Припять
[Locations.Puteprovod].Name;Путепровод Припять
[Locations.Upiter].Name;Окрестности Юпитера
[Locations.Zaton].Name;Затон
