[Territories.Name].Zona1;Prometheus Cinema
[Territories.Name].Zona2;Old Waste Facility
[Territories.Name].Zona3;High-rise Building
[Territories.Name].Zona4;River Port
[Territories.Name].Zona5;Northwestern Courtyards
[Territories.Name].Zona6;Vine Anomaly
[Territories.Name].Zona7;School No.1
[Territories.Name].Zona8;Western Courtyards
[Territories.Name].Zona9;Hospital
[Territories.Name].Zona10;Yubileyny Waste Facility
[Territories.Name].Zona11;Laboratory X-8
[Territories.Name].Zona12;Central Courtyards
[Territories.Name].Zona13;Volcano Anomaly
[Territories.Name].Zona14;Kindergarten
[Territories.Name].Zona15;Dormitory Building
[Territories.Name].Zona16;Eastern Building
[Territories.Name].Zona17;Grocery Store
[Territories.Name].Zona18;Laundry
[Territories.Name].Zona19;Dormitory No.2
[Territories.Name].Zona20;Department Store
[Territories.Name].Zona21;Southeastern Courtyards
[Territories.Name].Zona22;Southern Courtyard
[Territories.Name].Zona23;Book Store
