[Territories.Name].Zona1;North Lake
[Territories.Name].Zona2;Northern Plateau
[Territories.Name].Zona3;Northern Road
[Territories.Name].Zona4;Boiler Anomaly
[Territories.Name].Zona5;Burned Farmstead
[Territories.Name].Zona6;Sawmill
[Territories.Name].Zona7;North Swamp
[Territories.Name].Zona8;Northwestern Outskirts
[Territories.Name].Zona9;North Bridge
[Territories.Name].Zona10;South Lake
[Territories.Name].Zona11;Dredger
[Territories.Name].Zona12;Northeastern Outskirts
[Territories.Name].Zona13;Caves
[Territories.Name].Zona14;Swamp Center
[Territories.Name].Zona15;Stalker Skadovsk
[Territories.Name].Zona16;Sawmill Road
[Territories.Name].Zona17;The Quagmire
[Territories.Name].Zona18;Bandit Skadovsk
[Territories.Name].Zona19;Camp by the Hill
[Territories.Name].Zona20;Western Outskirts
[Territories.Name].Zona21;Emerald Settlement
[Territories.Name].Zona22;Crossroads near SAM Site
[Territories.Name].Zona23;Port Cranes
[Territories.Name].Zona24;Forestry Station
[Territories.Name].Zona25;Shevchenko
[Territories.Name].Zona26;West Bridge
[Territories.Name].Zona27;South Swamp
[Territories.Name].Zona28;Krug SAM Site
[Territories.Name].Zona29;Approaches to Forestry
[Territories.Name].Zona30;Gas Station
[Territories.Name].Zona31;Pine-Oak Anomaly
[Territories.Name].Zona32;Old Barge
[Territories.Name].Zona33;Scar Anomaly
[Territories.Name].Zona34;Preobrazhensky Bridge
[Territories.Name].Zona35;Approaches to Station
[Territories.Name].Zona36;Road to Workshop
[Territories.Name].Zona37;Testing Workshop Yard
[Territories.Name].Zona38;Testing Workshop
[Territories.Name].Zona39;Testing Workshop Laboratories
[Territories.Name].Zona40;Circus Anomaly
[Territories.Name].Zona41;Waste Processing Station
[Territories.Name].Zona42;Substation Workshops
[Territories.Name].Zona43;Fork near Station
[Territories.Name].Zona44;Southern Road
[Territories.Name].Zona45;Southern Plateau
