[Territories.Name].Zona1;Northern Outskirts
[Territories.Name].Zona2;Northeastern Outskirts
[Territories.Name].Zona3;Northwestern Outskirts
[Territories.Name].Zona4;Northern Wasteland
[Territories.Name].Zona5;Northern Plateau
[Territories.Name].Zona6;The Swamp
[Territories.Name].Zona7;Northeastern Plateau Section
[Territories.Name].Zona8;Tunnel
[Territories.Name].Zona9;Northern Approaches to Complex
[Territories.Name].Zona10;Plateau by the Swamp
[Territories.Name].Zona11;The Complex
[Territories.Name].Zona12;Road to the Dump
[Territories.Name].Zona13;Fork
[Territories.Name].Zona14;Abandoned Camp
[Territories.Name].Zona15;Upper Road
[Territories.Name].Zona16;Underground
[Territories.Name].Zona17;Eastern Outskirts
[Territories.Name].Zona18;Lower Road
[Territories.Name].Zona19;Central Plateau
[Territories.Name].Zona20;Northern Entrance
[Territories.Name].Zona21;Southern Hills
[Territories.Name].Zona22;Hangars
[Territories.Name].Zona23;Abandoned Helicopter
[Territories.Name].Zona24;Military Base
[Territories.Name].Zona25;Southern Outskirts
[Territories.Name].Zona26;Old Road
[Territories.Name].Zona27;North Checkpoint
[Territories.Name].Zona28;Old Trail
[Territories.Name].Zona29;Overturned Truck
[Territories.Name].Zona30;Small Clearing
[Territories.Name].Zona31;Farmstead
[Territories.Name].Zona32;Far Embankment Crossing
[Territories.Name].Zona33;Forgotten Trail
[Territories.Name].Zona34;Farm
[Territories.Name].Zona35;Western Private Sector
[Territories.Name].Zona36;Northern Hills
[Territories.Name].Zona37;Eastern Private Sector
[Territories.Name].Zona38;Checkpoint
[Territories.Name].Zona39;Forest
[Territories.Name].Zona40;Abandoned Train
[Territories.Name].Zona41;Western Complex
[Territories.Name].Zona42;Central Complex
[Territories.Name].Zona43;Eastern Complex
[Territories.Name].Zona44;Tunnel Under Embankment
[Territories.Name].Zona45;Ruined Bridge
[Territories.Name].Zona46;Southern Hills
[Territories.Name].Zona47;Dormitory
[Territories.Name].Zona48;Administration Building
[Territories.Name].Zona49;Electrical Substation
[Territories.Name].Zona50;Southwestern Section
[Territories.Name].Zona51;Field
[Territories.Name].Zona52;Grain Elevator
[Territories.Name].Zona53;Campfire in the Hollow
[Territories.Name].Zona54;Southern Section
[Territories.Name].Zona55;Western Hills
[Territories.Name].Zona56;Boiler House
[Territories.Name].Zona57;Eastern Road
[Territories.Name].Zona58;Motor Pool
[Territories.Name].Zona59;Tunnel
[Territories.Name].Zona60;The Dump
[Territories.Name].Zona61;Trailer by the Bridge
[Territories.Name].Zona62;Eastern Hills
[Territories.Name].Zona63;Village
[Territories.Name].Zona64;Eastern Lowland
[Territories.Name].Zona65;Western Lowland
[Territories.Name].Zona66;South Checkpoint
