[Territories.Name].Zona1;Северная окраина
[Territories.Name].Zona2;Северо-восточная окраина
[Territories.Name].Zona3;Северо-западная окраина
[Territories.Name].Zona4;Северная пустошь
[Territories.Name].Zona5;Северное плато
[Territories.Name].Zona6;Болото
[Territories.Name].Zona7;Северо-восточная часть плато
[Territories.Name].Zona8;Тоннель
[Territories.Name].Zona9;Северный подход к комплексу
[Territories.Name].Zona10;Плато у болота
[Territories.Name].Zona11;Комплекс
[Territories.Name].Zona12;Дорога на Свалку
[Territories.Name].Zona13;Развилка
[Territories.Name].Zona14;Брошенный лагерь
[Territories.Name].Zona15;Верхняя дорога
[Territories.Name].Zona16;Подземелье
[Territories.Name].Zona17;Восточная окраина
[Territories.Name].Zona18;Нижняя дорога
[Territories.Name].Zona19;Центральное плато
[Territories.Name].Zona20;Северный вход
[Territories.Name].Zona21;Южные холмы
[Territories.Name].Zona22;Ангары
[Territories.Name].Zona23;Брошенный вертолёт
[Territories.Name].Zona24;Военная база
[Territories.Name].Zona25;Южная окраина
[Territories.Name].Zona26;Старая дорога
[Territories.Name].Zona27;Северный КПП
[Territories.Name].Zona28;Старая тропа
[Territories.Name].Zona29;Перевернутый грузовик
[Territories.Name].Zona30;Малая поляна
[Territories.Name].Zona31;Хутор
[Territories.Name].Zona32;Дальний переход через насыпь
[Territories.Name].Zona33;Забытая тропа
[Territories.Name].Zona34;Ферма
[Territories.Name].Zona35;Западный частный сектор
[Territories.Name].Zona36;Северные холмы
[Territories.Name].Zona37;Восточный частный сектор
[Territories.Name].Zona38;Блокпост
[Territories.Name].Zona39;Лес
[Territories.Name].Zona40;Брошенный поезд
[Territories.Name].Zona41;Западный комплекс
[Territories.Name].Zona42;Центральный комплекс
[Territories.Name].Zona43;Восточный комплекс
[Territories.Name].Zona44;Тоннель под насыпью
[Territories.Name].Zona45;Разрушенный мост
[Territories.Name].Zona46;Южные холмы
[Territories.Name].Zona47;Общежитие
[Territories.Name].Zona48;Администрация
[Territories.Name].Zona49;Электрическая подстанция
[Territories.Name].Zona50;Юго-западная часть
[Territories.Name].Zona51;Поле
[Territories.Name].Zona52;Элеватор
[Territories.Name].Zona53;Костёр в низине
[Territories.Name].Zona54;Южная часть
[Territories.Name].Zona55;Западные холмы
[Territories.Name].Zona56;Котельная
[Territories.Name].Zona57;Восточная дорога
[Territories.Name].Zona58;АТП
[Territories.Name].Zona59;Тоннель
[Territories.Name].Zona60;Свалка
[Territories.Name].Zona61;Вагончик с мостом
[Territories.Name].Zona62;Восточные холмы
[Territories.Name].Zona63;Деревня
[Territories.Name].Zona64;Восточная низина
[Territories.Name].Zona65;Западная низина
[Territories.Name].Zona66;Южный КПП
