[Territories.Name].Zona1;Northern Checkpoint
[Territories.Name].Zona2;Northwestern Outskirts
[Territories.Name].Zona3;Northern Ravine
[Territories.Name].Zona4;Flea Market
[Territories.Name].Zona5;Northern Outskirts
[Territories.Name].Zona6;Passage to Dark Valley
[Territories.Name].Zona7;The Lowland
[Territories.Name].Zona8;The Pipes
[Territories.Name].Zona9;Eastern Outskirts
[Territories.Name].Zona10;Bus Stop
[Territories.Name].Zona11;Tunnel Exit
[Territories.Name].Zona12;Depot
[Territories.Name].Zona13;Passage to Agroprom
[Territories.Name].Zona14;Eastern Camp
[Territories.Name].Zona15;Dead Camp
[Territories.Name].Zona16;Approaches to Depot
[Territories.Name].Zona17;Grimpen Mire
[Territories.Name].Zona18;Old Trail
[Territories.Name].Zona19;Abandoned Vehicles
[Territories.Name].Zona20;Southern Outskirts
[Territories.Name].Zona21;Passage to Cordon
