[Territories.Name].Zona1;Северный блокпост
[Territories.Name].Zona2;Северо-западная окраина
[Territories.Name].Zona3;Северная лощиа
[Territories.Name].Zona4;Барахолка
[Territories.Name].Zona5;Северная окраина
[Territories.Name].Zona6;Переход в Тёмную долину
[Territories.Name].Zona7;Низина
[Territories.Name].Zona8;Трубы
[Territories.Name].Zona9;Восточная окраина
[Territories.Name].Zona10;Остановка
[Territories.Name].Zona11;Выезд из тоннеля
[Territories.Name].Zona12;Депо
[Territories.Name].Zona13;Переход на Агропром
[Territories.Name].Zona14;Восточная стоянка
[Territories.Name].Zona15;Мертвая стоянка
[Territories.Name].Zona16;Подходв к Депо
[Territories.Name].Zona17;Гримперская трясина
[Territories.Name].Zona18;Старая тропа
[Territories.Name].Zona19;Брошенная техника
[Territories.Name].Zona20;Южная окраина
[Territories.Name].Zona21;Переход на Кордон
