[Territories.Name].Zona1;Station Backlots
[Territories.Name].Zona2;Service Buildings
[Territories.Name].Zona3;Generators
[Territories.Name].Zona4;Northern Buildings
[Territories.Name].Zona5;Substations
[Territories.Name].Zona6;Western Building
[Territories.Name].Zona7;Catacombs
[Territories.Name].Zona8;Northern Approaches
[Territories.Name].Zona9;Eastern Buildings
[Territories.Name].Zona10;Western Camp
[Territories.Name].Zona11;Rooftops
[Territories.Name].Zona12;Northern Entrance
[Territories.Name].Zona13;The Sarcophagus
[Territories.Name].Zona14;Western Gates
[Territories.Name].Zona15;Approaches to the Station
[Territories.Name].Zona16;Road by the Entrance
[Territories.Name].Zona17;The Road
[Territories.Name].Zona18;Checkpoint
[Territories.Name].Zona19;Main Alley
[Territories.Name].Zona20;Southwest
[Territories.Name].Zona21;Monolith Camp
[Territories.Name].Zona22;Road to Checkpoint
[Territories.Name].Zona23;Southern Territory
[Territories.Name].Zona24;Bridge
[Territories.Name].Zona25;Avangard Stadium
[Territories.Name].Zona26;Stadium Entrance
[Territories.Name].Zona27;Western High-rises
[Territories.Name].Zona28;Ferris Wheel
[Territories.Name].Zona29;Energetik Palace of Culture
[Territories.Name].Zona30;Polessye Hotel
[Territories.Name].Zona31;Bus Station
[Territories.Name].Zona32;Square
[Territories.Name].Zona33;Underground Parking
[Territories.Name].Zona34;Kindergarten
[Territories.Name].Zona35;Southwest
[Territories.Name].Zona36;Alley
[Territories.Name].Zona37;Southeast
[Territories.Name].Zona38;North Checkpoint
[Territories.Name].Zona39;Dead End
[Territories.Name].Zona40;Laboratory
[Territories.Name].Zona41;Ascent to Antennas
[Territories.Name].Zona42;Antennas
[Territories.Name].Zona43;Fork
[Territories.Name].Zona44;Crossroads
[Territories.Name].Zona45;Road to Crossroads
[Territories.Name].Zona46;Northern Dead Forest
[Territories.Name].Zona47;Winding Road
[Territories.Name].Zona48;Dead Forest
[Territories.Name].Zona49;Eastern Dead Forest
[Territories.Name].Zona50;Observation Point
[Territories.Name].Zona51;South Checkpoint
