[Territories.Name].Zona1;Northern Fortification
[Territories.Name].Zona2;Northwestern Checkpoint
[Territories.Name].Zona3;Northeastern Checkpoint
[Territories.Name].Zona4;Northwestern Buildings
[Territories.Name].Zona5;Northeastern Buildings
[Territories.Name].Zona6;Northwestern Farmstead
[Territories.Name].Zona7;Northwestern Camp
[Territories.Name].Zona8;Northeastern Camp
[Territories.Name].Zona9;Northeastern Farmstead
[Territories.Name].Zona10;Forgotten City
[Territories.Name].Zona11;Western Suburb
[Territories.Name].Zona12;Eastern Suburb
[Territories.Name].Zona13;Western Bunker
[Territories.Name].Zona14;Eastern Bunker
[Territories.Name].Zona15;Southwestern Camp
[Territories.Name].Zona16;Southeastern Camp
[Territories.Name].Zona17;Southwestern Farmstead
[Territories.Name].Zona18;Southeastern Farmstead
[Territories.Name].Zona19;Southwestern Buildings
[Territories.Name].Zona20;Southeastern Buildings
[Territories.Name].Zona21;Southwestern Checkpoint
[Territories.Name].Zona22;Southeastern Checkpoint
[Territories.Name].Zona23;Southern Fortification
