[Territories.Name].Zona1;Северный укреп
[Territories.Name].Zona2;Северо-западный блокпост
[Territories.Name].Zona3;Северо-восточный блокпост
[Territories.Name].Zona4;Северо-западные постройки
[Territories.Name].Zona5;Северо-восточные постройки
[Territories.Name].Zona6;Северо-западный хутор
[Territories.Name].Zona7;Северо-западная стоянка
[Territories.Name].Zona8;Северо-восточная стоянка
[Territories.Name].Zona9;Северо-восточный хутор
[Territories.Name].Zona10;Забытый город
[Territories.Name].Zona11;Западный пригород
[Territories.Name].Zona12;Восточный пригород
[Territories.Name].Zona13;Западный бункер
[Territories.Name].Zona14;Восточный бункер
[Territories.Name].Zona15;Юго-западная стоянка
[Territories.Name].Zona16;Юго-восточная стоянка
[Territories.Name].Zona17;Юго-западный хутор
[Territories.Name].Zona18;Юго-восточный хутор
[Territories.Name].Zona19;Юго-западные постройки
[Territories.Name].Zona20;Юго-восточные постройки
[Territories.Name].Zona21;Юго-западный блокпост
[Territories.Name].Zona22;Юго-восточный блокпост
[Territories.Name].Zona23;Южный укреп
