[Territories.Name].Zona1;Северный бункер
[Territories.Name].Zona2;Северо-западные равнины
[Territories.Name].Zona3;Северо-восточные равнины
[Territories.Name].Zona4;Северый хутор
[Territories.Name].Zona5;Северо-западные холмы
[Territories.Name].Zona6;Северо-восточные холмы
[Territories.Name].Zona7;Северо-западное болото
[Territories.Name].Zona8;Северо-восточное болото
[Territories.Name].Zona9;Северо-западные постройки
[Territories.Name].Zona10;Северо-восточные постройки
[Territories.Name].Zona11;Западное болото
[Territories.Name].Zona12;Забытый город
[Territories.Name].Zona13;Восточное болото
[Territories.Name].Zona14;Западные постройки
[Territories.Name].Zona15;Восточные постройки
[Territories.Name].Zona16;Западные холмы
[Territories.Name].Zona17;Восточные холмы
[Territories.Name].Zona18;Восточный хутор
[Territories.Name].Zona19;Юго-западные постройки
[Territories.Name].Zona20;Юго-западный хутор
[Territories.Name].Zona21;Юго-восточные постройки
[Territories.Name].Zona22;Восточная равнина
[Territories.Name].Zona24;Юго-восточные равнины
[Territories.Name].Zona25;Юго-западные равнины
[Territories.Name].Zona26;Восточный бункер
[Territories.Name].Zona23;Западные равнины
[Territories.Name].Zona28;Западный бункер
[Territories.Name].Zona27;Юго-западные холмы
[Territories.Name].Zona29;Юго-восточное болото
[Territories.Name].Zona30;Юго-западное болото
[Territories.Name].Zona31;Юго-восточные холмы
