[Territories.Name].Zona1;Northwestern Village
[Territories.Name].Zona2;Northwestern Plains
[Territories.Name].Zona3;Northwestern Town
[Territories.Name].Zona4;Northeastern Plains
[Territories.Name].Zona5;Northeastern Village
[Territories.Name].Zona6;Northern Swamp
[Territories.Name].Zona7;Northeastern Town
[Territories.Name].Zona8;Western Upper Village
[Territories.Name].Zona9;Northwestern Farmstead
[Territories.Name].Zona10;Northwestern Upper Hills
[Territories.Name].Zona11;Eastern Upper Village
[Territories.Name].Zona12;Northeastern Upper Hills
[Territories.Name].Zona13;Northeastern Farmstead
[Territories.Name].Zona14;Northern Ruins
[Territories.Name].Zona15;Northeastern Lower Hills
[Territories.Name].Zona16;Western Upper Town
[Territories.Name].Zona17;Northwestern Lower Hills
[Territories.Name].Zona18;Eastern Upper Town
[Territories.Name].Zona19;Central Forest
[Territories.Name].Zona20;Eastern Ruins
[Territories.Name].Zona21;Western Ruins
[Territories.Name].Zona22;Eastern Swamp
[Territories.Name].Zona24;Western Lower Town
[Territories.Name].Zona25;Southwestern Upper Hills
[Territories.Name].Zona26;Southeastern Upper Hills
[Territories.Name].Zona23;Western Swamp
[Territories.Name].Zona28;Southwestern Lower Hills
[Territories.Name].Zona27;Eastern Lower Town
[Territories.Name].Zona29;Southern Ruins
[Territories.Name].Zona30;Southeastern Lower Hills
[Territories.Name].Zona31;Southwestern Farmstead
[Territories.Name].Zona32;Eastern Lower Village
[Territories.Name].Zona33;Western Lower Village
[Territories.Name].Zona34;Southeastern Farmstead
[Territories.Name].Zona35;Southeastern Village
[Territories.Name].Zona36;Southeastern Plains
[Territories.Name].Zona37;Southeastern Town
[Territories.Name].Zona38;Southwestern Town
[Territories.Name].Zona39;Southern Swamp
[Territories.Name].Zona40;Southwestern Plains
[Territories.Name].Zona41;Southwestern Village
