[Territories.Name].Zona1;Северо-западная деревня
[Territories.Name].Zona2;Северо-западные равнины
[Territories.Name].Zona3;Северо-западный город
[Territories.Name].Zona4;Северо-восточные равнины
[Territories.Name].Zona5;Северо-восточная деревня
[Territories.Name].Zona6;Северное болото
[Territories.Name].Zona7;Северо-восточный город
[Territories.Name].Zona8;Западная верхняя деревня
[Territories.Name].Zona9;Северо-западный хутор
[Territories.Name].Zona10;Северо-западные верхние холмы
[Territories.Name].Zona11;Восточная верхняя деревня
[Territories.Name].Zona12;Северо-восточные верхние холмы
[Territories.Name].Zona13;Северо-восточный хутор
[Territories.Name].Zona14;Северные руины
[Territories.Name].Zona15;Северо-восточные нижние холмы
[Territories.Name].Zona16;Западный верхний город
[Territories.Name].Zona17;Северо-западные нижние холмы
[Territories.Name].Zona18;Восточный верхний город
[Territories.Name].Zona19;Центральный лес
[Territories.Name].Zona20;Восточные руины
[Territories.Name].Zona21;Западные руины
[Territories.Name].Zona22;Восточное болото
[Territories.Name].Zona24;Западный нижний город
[Territories.Name].Zona25;Юго-западные верхние холмы
[Territories.Name].Zona26;Юго-восточные верхние холмы
[Territories.Name].Zona23;Западное болото
[Territories.Name].Zona28;Юго-западные нижние холмы
[Territories.Name].Zona27;Восточный нижний город
[Territories.Name].Zona29;Южные руины
[Territories.Name].Zona30;Юго-восточные нижние холмы
[Territories.Name].Zona31;Юго-западный хутор
[Territories.Name].Zona32;Восточная нижняя деревня
[Territories.Name].Zona33;Западная нижняя деревня
[Territories.Name].Zona34;Юго-восточный хутор
[Territories.Name].Zona35;Юго-восточная деревня
[Territories.Name].Zona36;Юго-восточные равнины
[Territories.Name].Zona37;Юго-восточный город
[Territories.Name].Zona38;Юго-западный город
[Territories.Name].Zona39;Южное болото
[Territories.Name].Zona40;Юго-западные равнины
[Territories.Name].Zona41;Юго-западная деревня
