[Territories.Name].Zona1;Northwestern Forest
[Territories.Name].Zona2;Northwestern Farmstead
[Territories.Name].Zona3;Northwestern Swamp
[Territories.Name].Zona4;Northeastern Farmstead
[Territories.Name].Zona5;Northeastern Forest
[Territories.Name].Zona6;Northern Bunker
[Territories.Name].Zona7;Northeastern Swamp
[Territories.Name].Zona8;Western Upper Forest
[Territories.Name].Zona9;Northwestern Upper Hills
[Territories.Name].Zona10;Northwestern Camp
[Territories.Name].Zona11;Eastern Upper Forest
[Territories.Name].Zona12;Northeastern Upper Hills
[Territories.Name].Zona13;Northeastern Camp
[Territories.Name].Zona14;Northern Buildings
[Territories.Name].Zona15;Northeastern Lower Hills
[Territories.Name].Zona16;Western Upper Swamp
[Territories.Name].Zona17;Northwestern Lower Hills
[Territories.Name].Zona18;Eastern Upper Swamp
[Territories.Name].Zona19;Forgotten City
[Territories.Name].Zona20;Eastern Buildings
[Territories.Name].Zona21;Western Buildings
[Territories.Name].Zona22;Eastern Bunker
[Territories.Name].Zona24;Western Lower Swamp
[Territories.Name].Zona25;Southwestern Upper Hills
[Territories.Name].Zona26;Southeastern Upper Hills
[Territories.Name].Zona23;Western Bunker
[Territories.Name].Zona28;Southwestern Lower Hills
[Territories.Name].Zona27;Eastern Lower Swamp
[Territories.Name].Zona29;Southern Buildings
[Territories.Name].Zona30;Southeastern Lower Hills
[Territories.Name].Zona31;Southwestern Camp
[Territories.Name].Zona32;Eastern Lower Forest
[Territories.Name].Zona33;Western Lower Forest
[Territories.Name].Zona34;Southeastern Camp
[Territories.Name].Zona35;Southeastern Forest
[Territories.Name].Zona36;Southwestern Forest
[Territories.Name].Zona37;Southeastern Farmstead
[Territories.Name].Zona38;Southeastern Swamp
[Territories.Name].Zona39;Southwestern Swamp
[Territories.Name].Zona40;Southern Bunker
[Territories.Name].Zona41;Southwestern Farmstead
