[Territories.Name].Zona1;Northern Town
[Territories.Name].Zona2;Northeastern Buildings
[Territories.Name].Zona3;Northwestern Buildings
[Territories.Name].Zona4;Northeastern Forest
[Territories.Name].Zona5;Northwestern Forest
[Territories.Name].Zona6;Northeastern Village
[Territories.Name].Zona7;Northwestern Village
[Territories.Name].Zona8;Northwestern Ruins
[Territories.Name].Zona9;Northeastern Ruins
[Territories.Name].Zona10;Northeastern Checkpoint
[Territories.Name].Zona11;Northwestern Village
[Territories.Name].Zona12;Northeastern Village
[Territories.Name].Zona13;Northwestern Checkpoint
[Territories.Name].Zona14;Northwestern Structures
[Territories.Name].Zona15;Eastern Upper Forest
[Territories.Name].Zona16;Western Upper Forest
[Territories.Name].Zona17;Northeastern Structures
[Territories.Name].Zona18;Western Town
[Territories.Name].Zona19;Eastern Town
[Territories.Name].Zona20;Central Buildings
[Territories.Name].Zona21;Western Lower Forest
[Territories.Name].Zona22;Western Farm
[Territories.Name].Zona23;Eastern Farm
[Territories.Name].Zona24;Eastern Lower Forest
[Territories.Name].Zona25;Unknown Laboratory
[Territories.Name].Zona26;Western Village
[Territories.Name].Zona27;Western Checkpoint
[Territories.Name].Zona28;Eastern Checkpoint
[Territories.Name].Zona29;Eastern Village
[Territories.Name].Zona30;Western Ruins
[Territories.Name].Zona31;Southern Checkpoint
[Territories.Name].Zona32;Southeastern Upper Forest
[Territories.Name].Zona33;Southeastern Lower Forest
[Territories.Name].Zona34;Eastern Ruins
[Territories.Name].Zona35;Southwestern Upper Forest
[Territories.Name].Zona36;Southwestern Lower Forest
[Territories.Name].Zona37;Eastern Village
[Territories.Name].Zona38;Western Village
[Territories.Name].Zona39;Eastern Buildings
[Territories.Name].Zona40;Western Buildings
[Territories.Name].Zona41;Southwestern Village
[Territories.Name].Zona42;Southern Ruins
[Territories.Name].Zona43;Southeastern Village
[Territories.Name].Zona44;Southeastern Buildings
[Territories.Name].Zona45;Southeastern Town
[Territories.Name].Zona46;Southwestern Buildings
[Territories.Name].Zona47;Southwestern Town
