[Territories.Name].Zona1;Северный город
[Territories.Name].Zona2;Северо-восточные постройки
[Territories.Name].Zona3;Северо-западные постройки
[Territories.Name].Zona4;Северо-восточный лес
[Territories.Name].Zona5;Северо-западный лес
[Territories.Name].Zona6;Северо-восточная деревня
[Territories.Name].Zona7;Северо-западная деревня
[Territories.Name].Zona8;Северо-западные руины
[Territories.Name].Zona9;Северо-восточные руины
[Territories.Name].Zona10;Северо-восточный блокпост
[Territories.Name].Zona11;Северо-западное село
[Territories.Name].Zona12;Северо-восточное село
[Territories.Name].Zona13;Северо-западный блокпост
[Territories.Name].Zona14;Северо-западные сооружения
[Territories.Name].Zona15;Восточный верхний лес
[Territories.Name].Zona16;Западный верхний лес
[Territories.Name].Zona17;Северо-восточные сооружения
[Territories.Name].Zona18;Западный город
[Territories.Name].Zona19;Восточный город
[Territories.Name].Zona20;Центральные постройки
[Territories.Name].Zona21;Западный нижний лес
[Territories.Name].Zona22;Западная ферма
[Territories.Name].Zona23;Восточное ферма
[Territories.Name].Zona24;Восточный нижний лес
[Territories.Name].Zona25;Неизвестная лаборатория
[Territories.Name].Zona26;Западная деревня
[Territories.Name].Zona27;Западный блокпост
[Territories.Name].Zona28;Восточный блокпост
[Territories.Name].Zona29;Восточная деревня
[Territories.Name].Zona30;Западны руины
[Territories.Name].Zona31;Южный блокпост
[Territories.Name].Zona32;Юго-восточный верхний лес
[Territories.Name].Zona33;Юго-восточный нижний лес
[Territories.Name].Zona34;Восточные руины
[Territories.Name].Zona35;Юго-западный верхний лес
[Territories.Name].Zona36;Юго-западный нижний лес
[Territories.Name].Zona37;Восточное село
[Territories.Name].Zona38;Западное село
[Territories.Name].Zona39;Восточные постройки
[Territories.Name].Zona40;Западные постройки
[Territories.Name].Zona41;Юго-западная деревня
[Territories.Name].Zona42;Южные руины
[Territories.Name].Zona43;Юго-восточная деревня
[Territories.Name].Zona44;Юго-восточные постройки
[Territories.Name].Zona45;Юго-восточный город
[Territories.Name].Zona46;Юго-западные постройки
[Territories.Name].Zona47;Юго-западный город
