[Territories.Name].Zona1;Northern Bunker
[Territories.Name].Zona61;Southern Bunker
[Territories.Name].Zona60;Southern Fortification
[Territories.Name].Zona59;Southeastern Plains
[Territories.Name].Zona58;Southeastern Farmstead
[Territories.Name].Zona57;Southwestern Checkpoint
[Territories.Name].Zona56;Southern Forest
[Territories.Name].Zona55;Southwestern Farmstead
[Territories.Name].Zona54;Southeastern Checkpoint
[Territories.Name].Zona53;Southeastern Lower Hills
[Territories.Name].Zona52;Southwestern Lower Hills
[Territories.Name].Zona51;Southwestern Plains
[Territories.Name].Zona50;Southeastern Fortification
[Territories.Name].Zona49;Southeastern Bunker
[Territories.Name].Zona48;Southwestern Bunker
[Territories.Name].Zona47;Southwestern Upper Hills
[Territories.Name].Zona46;Southeastern Upper Hills
[Territories.Name].Zona45;Southern Swamp
[Territories.Name].Zona44;Southeastern Forest
[Territories.Name].Zona43;Southwestern Forest
[Territories.Name].Zona42;Eastern Plains
[Territories.Name].Zona16;Northwestern Bunker
[Territories.Name].Zona17;Northeastern Bunker
[Territories.Name].Zona2;Northwestern Plains
[Territories.Name].Zona11;Northeastern Plains
[Territories.Name].Zona22;Western Plains
[Territories.Name].Zona30;Settlement Ruins
[Territories.Name].Zona24;Northwestern Bridge
[Territories.Name].Zona25;Northeastern Bridge
[Territories.Name].Zona31;Western Bridge
[Territories.Name].Zona32;Eastern Bridge
[Territories.Name].Zona39;Southwestern Bridge
[Territories.Name].Zona40;Southeastern Bridge
[Territories.Name].Zona15;Northern Swamp
[Territories.Name].Zona20;Northwestern Swamp
[Territories.Name].Zona21;Northeastern Swamp
[Territories.Name].Zona37;Southwestern Swamp
[Territories.Name].Zona33;Southeastern Swamp
[Territories.Name].Zona6;Northern Forest
[Territories.Name].Zona18;Northwestern Forest
[Territories.Name].Zona19;Northeastern Forest
[Territories.Name].Zona9;Northeastern Upper Hills
[Territories.Name].Zona10;Northwestern Upper Hills
[Territories.Name].Zona13;Northeastern Lower Hills
[Territories.Name].Zona14;Northwestern Lower Hills
[Territories.Name].Zona26;Eastern Upper Hills
[Territories.Name].Zona27;Western Upper Hills
[Territories.Name].Zona34;Eastern Lower Hills
[Territories.Name].Zona36;Western Lower Hills
[Territories.Name].Zona3;Northern Fortification
[Territories.Name].Zona23;Eastern Fortification
[Territories.Name].Zona41;Western Fortification
[Territories.Name].Zona12;Northwestern Fortification
[Territories.Name].Zona4;Northeastern Farmstead
[Territories.Name].Zona7;Northwestern Farmstead
[Territories.Name].Zona38;Eastern Farmstead
[Territories.Name].Zona28;Western Farmstead
[Territories.Name].Zona8;Northwestern Checkpoint
[Territories.Name].Zona5;Northeastern Checkpoint
[Territories.Name].Zona35;Western Checkpoint
[Territories.Name].Zona29;Eastern Checkpoint
