[Territories.Name].Zona1;Northern Industrial Complex
[Territories.Name].Zona2;Northeastern Forest
[Territories.Name].Zona6;Northwestern Forest
[Territories.Name].Zona14;Eastern Forest
[Territories.Name].Zona26;Western Forest
[Territories.Name].Zona38;Southeastern Forest
[Territories.Name].Zona44;Southwestern Forest
[Territories.Name].Zona48;Southern Forest
[Territories.Name].Zona9;Northwestern Industrial Complex
[Territories.Name].Zona10;Northeastern Industrial Complex
[Territories.Name].Zona25;Forgotten City
[Territories.Name].Zona34;Western Industrial Complex
[Territories.Name].Zona35;Eastern Industrial Complex
[Territories.Name].Zona49;Southwestern Industrial Complex
[Territories.Name].Zona50;Southeastern Industrial Complex
[Territories.Name].Zona3;Northern Ruins
[Territories.Name].Zona7;Northeastern Ruins
[Territories.Name].Zona13;Western Ruins
[Territories.Name].Zona27;Eastern Ruins
[Territories.Name].Zona37;Southwestern Ruins
[Territories.Name].Zona45;Southeastern Ruins
[Territories.Name].Zona46;Southern Ruins
[Territories.Name].Zona4;Northwestern Plains
[Territories.Name].Zona5;Northeastern Plains
[Territories.Name].Zona17;Western Plains
[Territories.Name].Zona20;Eastern Plains
[Territories.Name].Zona40;Southwestern Plains
[Territories.Name].Zona39;Southeastern Plains
[Territories.Name].Zona47;Southern Plains
[Territories.Name].Zona8;Northern Hills
[Territories.Name].Zona15;Northwestern Hills
[Territories.Name].Zona16;Northeastern Hills
[Territories.Name].Zona28;Eastern Hills
[Territories.Name].Zona29;Western Hills
[Territories.Name].Zona42;Southwestern Hills
[Territories.Name].Zona43;Southeastern Hills
[Territories.Name].Zona11;Northeastern Swamp
[Territories.Name].Zona12;Northwestern Swamp
[Territories.Name].Zona22;Western Swamp
[Territories.Name].Zona21;Eastern Swamp
[Territories.Name].Zona32;Southwestern Swamp
[Territories.Name].Zona33;Southeastern Swamp
[Territories.Name].Zona41;Southern Swamp
[Territories.Name].Zona18;Northwestern Checkpoint
[Territories.Name].Zona19;Northeastern Checkpoint
[Territories.Name].Zona23;Eastern Checkpoint
[Territories.Name].Zona24;Western Checkpoint
[Territories.Name].Zona30;Southwestern Checkpoint
[Territories.Name].Zona31;Southeastern Checkpoint
[Territories.Name].Zona36;Southern Checkpoint
