[Territories.Name].Zona1;Северный заводской комплекс
[Territories.Name].Zona2;Северо-восточный лес
[Territories.Name].Zona6;Северо-западный лес
[Territories.Name].Zona14;Восточный лес
[Territories.Name].Zona26;Западный лес
[Territories.Name].Zona38;Юго-восточный лес
[Territories.Name].Zona44;Юго-западный лес
[Territories.Name].Zona48;Южный лес
[Territories.Name].Zona9;Северо-западный заводской комплекс
[Territories.Name].Zona10;Северо-восточный заводской комплекс
[Territories.Name].Zona25;Забытый город
[Territories.Name].Zona34;Западный заводской комплекс
[Territories.Name].Zona35;Восточный заводской комплекс
[Territories.Name].Zona49;Юго-западный заводской комплекс
[Territories.Name].Zona50;Юго-восточный заводской комплекс
[Territories.Name].Zona3;Северные руины
[Territories.Name].Zona7;Северо-восточные руины
[Territories.Name].Zona13;Западные руины
[Territories.Name].Zona27;Восточные руины
[Territories.Name].Zona37;Юго-западные руины
[Territories.Name].Zona45;Юго-восточные руины
[Territories.Name].Zona46;Южные руины
[Territories.Name].Zona4;Северо-западные равнины
[Territories.Name].Zona5;Северо-восточные равнины
[Territories.Name].Zona17;Западные равнины
[Territories.Name].Zona20;Восточные равнины
[Territories.Name].Zona40;Юго-западные равнины
[Territories.Name].Zona39;Юго-восточные равнины
[Territories.Name].Zona47;Южные равнины
[Territories.Name].Zona8;Северные холмы
[Territories.Name].Zona15;Северо-западные холмы
[Territories.Name].Zona16;Северо-восточные холмы
[Territories.Name].Zona28;Восточные холмы
[Territories.Name].Zona29;Западные холмы
[Territories.Name].Zona42;Юго-западные холмы
[Territories.Name].Zona43;Юго-восточные холмы
[Territories.Name].Zona11;Северо-восточное болото
[Territories.Name].Zona12;Северо-западное болото
[Territories.Name].Zona22;Западное болото
[Territories.Name].Zona21;Восточное болото
[Territories.Name].Zona32;Юго-западное болото
[Territories.Name].Zona33;Юго-восточное болото
[Territories.Name].Zona41;Юго-западное болото
[Territories.Name].Zona18;Северо-западный блокпост
[Territories.Name].Zona19;Северо-восточный блокпост
[Territories.Name].Zona23;Восточный блокпост
[Territories.Name].Zona24;Западный блокпост
[Territories.Name].Zona30;Юго-западный блокпост
[Territories.Name].Zona31;Юго-восточный блокпост
[Territories.Name].Zona36;Южный блокпост
