[Territories.Name].Zona1;Northern Hills
[Territories.Name].Zona2;Northern Farmstead
[Territories.Name].Zona3;Northern Ruins
[Territories.Name].Zona4;Northeastern Mire
[Territories.Name].Zona5;Northwestern Mire
[Territories.Name].Zona6;Northwestern Ruins
[Territories.Name].Zona7;Northeastern Hills
[Territories.Name].Zona8;Northeastern Farmstead
[Territories.Name].Zona9;Northwestern Farmstead
[Territories.Name].Zona10;Northwestern Plains
[Territories.Name].Zona11;Northern Left Forest
[Territories.Name].Zona12;Northern Right Forest
[Territories.Name].Zona13;Northeastern Plains
[Territories.Name].Zona14;Northern Swamp
[Territories.Name].Zona15;Northeastern Ruins
[Territories.Name].Zona16;Northwestern Hills
[Territories.Name].Zona17;Northeastern Upper Forest
[Territories.Name].Zona18;Northwestern Upper Forest
[Territories.Name].Zona19;Northeastern Swamp
[Territories.Name].Zona20;Northeastern Lower Forest
[Territories.Name].Zona21;Northwestern Lower Forest
[Territories.Name].Zona22;Northwestern Swamp
[Territories.Name].Zona23;Eastern Upper Mire
[Territories.Name].Zona24;Western Upper Mire
[Territories.Name].Zona25;Eastern Upper Plains
[Territories.Name].Zona26;Western Upper Plains
[Territories.Name].Zona27;Northern Tunnel
[Territories.Name].Zona28;Northwestern Tunnel
[Territories.Name].Zona29;Northeastern Tunnel
[Territories.Name].Zona30;Western Ruins
[Territories.Name].Zona31;Eastern Hills
[Territories.Name].Zona32;Western Swamp
[Territories.Name].Zona33;Western Upper Forest
[Territories.Name].Zona34;Eastern Swamp
[Territories.Name].Zona35;Eastern Upper Forest
[Territories.Name].Zona36;Eastern Tunnel
[Territories.Name].Zona37;Western Tunnel
[Territories.Name].Zona38;Abandoned Laboratory
[Territories.Name].Zona39;Western Farmstead
[Territories.Name].Zona40;Eastern Farmstead
[Territories.Name].Zona41;Western Lower Forest
[Territories.Name].Zona42;Eastern Lower Forest
[Territories.Name].Zona43;Southwestern Tunnel
[Territories.Name].Zona44;Southeastern Tunnel
[Territories.Name].Zona45;Western Hills
[Territories.Name].Zona46;Western Lower Plains
[Territories.Name].Zona47;Eastern Ruins
[Territories.Name].Zona48;Eastern Lower Plains
[Territories.Name].Zona49;Southern Tunnel
[Territories.Name].Zona50;Southwestern Swamp
[Territories.Name].Zona51;Southeastern Swamp
[Territories.Name].Zona52;Southwestern Upper Forest
[Territories.Name].Zona53;Southeastern Upper Forest
[Territories.Name].Zona54;Western Lower Mire
[Territories.Name].Zona55;Eastern Lower Mire
[Territories.Name].Zona56;Southwestern Ruins
[Territories.Name].Zona57;Southeastern Hills
[Territories.Name].Zona58;Southern Swamp
[Territories.Name].Zona59;Southeastern Lower Forest
[Territories.Name].Zona60;Southwestern Lower Forest
[Territories.Name].Zona61;Southwestern Farmstead
[Territories.Name].Zona62;Southeastern Farmstead
[Territories.Name].Zona63;Southern Right Forest
[Territories.Name].Zona64;Southeastern Plains
[Territories.Name].Zona65;Southwestern Plains
[Territories.Name].Zona66;Southern Left Forest
[Territories.Name].Zona67;Southeastern Ruins
[Territories.Name].Zona68;Southwestern Hills
[Territories.Name].Zona69;Southern Ruins
[Territories.Name].Zona70;Southern Farmstead
[Territories.Name].Zona71;Southern Hills
[Territories.Name].Zona72;Southwestern Mire
[Territories.Name].Zona73;Southeastern Mire
