[Territories.Name].Zona1;North Checkpoint
[Territories.Name].Zona2;Northern Rocks
[Territories.Name].Zona3;Overturned Truck
[Territories.Name].Zona4;Northern Grove
[Territories.Name].Zona5;Northeastern Hills
[Territories.Name].Zona6;Abandoned Farmstead
[Territories.Name].Zona7;Farm
[Territories.Name].Zona8;East Tunnel
[Territories.Name].Zona9;Northern Hills by the Bridge
[Territories.Name].Zona10;Western Backwoods
[Territories.Name].Zona11;Abandoned Train
[Territories.Name].Zona12;Northern Tunnel Exit
[Territories.Name].Zona13;Eastern Valley
[Territories.Name].Zona14;Ruined Bridge
[Territories.Name].Zona15;Eastern Hills
[Territories.Name].Zona16;Southern Hills by the Bridge
[Territories.Name].Zona17;Southern Tunnel Exit
[Territories.Name].Zona18;Southeastern Hills
[Territories.Name].Zona19;Grain Elevator
[Territories.Name].Zona20;Small Forest
[Territories.Name].Zona21;Bus Stop
[Territories.Name].Zona22;Motor Pool
[Territories.Name].Zona23;Southeast Tunnel
[Territories.Name].Zona24;Small Dump
[Territories.Name].Zona25;Trailer by the Bridge
[Territories.Name].Zona26;Hills near the Motor Pool
[Territories.Name].Zona27;Novice Village
[Territories.Name].Zona28;Abandoned Camp
[Territories.Name].Zona29;Southern Rocks
[Territories.Name].Zona30;Southwestern Hills
[Territories.Name].Zona31;Abandoned Tunnel
[Territories.Name].Zona32;Hidden Camp
[Territories.Name].Zona33;Secret Transit Point
[Territories.Name].Zona34;South Checkpoint
